"SURVEY_ID","INSPECTION_TYPE","DEFICIENCY","SEVERITY","RESIDENTS_AFFECTED","SQC","REG_SET_ID","TAG_NUMBER","CORRECTION_DATE","IS_COMPLAINT","SUPPRESS_ON_INSPECTION_TAB"
"07S4","Health","INFECTION CONTROL","2","1","0","ZT1N","210",".","0","0"
"07S4","Health","INFECTION PREVENTION & CONTROL","2","2","0","FF11","0880",".","0","0"
"07S4","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","2","0","K307","0921","04/10/2020","0","0"
"07S4","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","1","0","K307","0918","04/10/2020","0","0"
"07S4","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","3","0","K307","0916","04/10/2020","0","0"
"07S4","LSC","SPRINKLER SYSTEM - INSTALLATION","2","1","0","K307","0351","04/10/2020","0","0"
"07S4","LSC","SUBDIVISION OF BUILDING SPACES - SMOKE BARRIE","2","1","0","K307","0372","04/10/2020","0","0"
"08NZ","Health","CARE PLAN TIMING AND REVISION","2","1","0","FF11","0657","02/18/2020","0","0"
"08NZ","Health","NUTRITION/HYDRATION STATUS MAINTENANCE","2","1","0","FF11","0692","02/18/2020","0","0"
"08NZ","LSC","MEANS OF EGRESS - GENERAL","2","1","0","K307","0211","02/17/2020","0","0"
"08NZ","LSC","VERTICAL OPENINGS - ENCLOSURE","2","1","0","K307","0311","02/17/2020","0","0"
"0ACT","Health","LICENSE/COMPLY W/ FED/STATE/LOCL LAW/PROF STD","1","2","0","FF11","0836","07/07/2020","1","0"
"0BCR","Health","SUFFICIENT NURSING STAFF","2","2","0","FF11","0725","05/15/2019","1","0"
"0BCZ","LSC","ROLES UNDER A WAIVER DECLARED BY SECRETARY","1","3","0","EP01","0026","02/28/2018","0","0"
"0BFO","Health","ANTIBIOTIC STEWARDSHIP PROGRAM","2","2","0","FF11","0881","10/25/2019","0","0"
"0BFO","Health","FOOD IN FORM TO MEET INDIVIDUAL NEEDS","2","1","0","FF11","0805","10/25/2019","0","0"
"0BFO","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","2","0","FF11","0812","10/25/2019","0","0"
"0BFO","Health","FREE FROM UNNEC PSYCHOTROPIC MEDS/PRN USE","2","1","0","FF11","0758","10/25/2019","0","0"
"0BFO","Health","INFECTION CONTROL","2","2","0","ZT1N","210","10/25/2019","0","0"
"0BFO","Health","MENUS MEET RESIDENT NDS/PREP IN ADV/FOLLOWED","2","2","0","FF11","0803","10/25/2019","0","0"
"0BFO","Health","PERSONAL FOOD POLICY","2","1","0","FF11","0813","11/07/2019","0","0"
"0BFO","Health","RESIDENT RECORDS - IDENTIFIABLE INFORMATION","2","1","0","FF11","0842","10/25/2019","1","0"
"0BFO","Health","SAFE/CLEAN/COMFORTABLE/HOMELIKE ENVIRONMENT","2","1","0","FF11","0584","11/07/2019","1","0"
"0BFO","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","2","0","K307","0921","10/25/2019","0","0"
"0BFO","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","2","0","K307","0918","10/25/2019","0","0"
"0BFO","LSC","SPRINKLER SYSTEM - INSTALLATION","2","2","0","K307","0351","10/25/2019","0","0"
"0BFO","LSC","SPRINKLER SYSTEM - MAINTENANCE AND TESTING","2","2","0","K307","0353","10/25/2019","0","0"
"0BFO","LSC","STAIRWAYS AND SMOKEPROOF ENCLOSURES","2","2","0","K307","0225","10/25/2019","0","0"
"0BFO","LSC","UTILITIES - GAS AND ELECTRIC","2","2","0","K307","0511","10/25/2019","0","0"
"0BMX","Health","DRUG REGIMEN IS FREE FROM UNNECESSARY DRUGS","2","1","0","FF10","0329","08/08/2017","0","0"
"0BMX","Health","FOOD PROCURE, STORE/PREPARE/SERVE - SANITARY","2","2","0","FF10","0371","08/08/2017","0","0"
"0BMX","LSC","ELECTRICAL EQUIPMENT - POWER CORDS AND EXTENS","2","2","0","K307","0920","08/08/2017","0","0"
"0BMX","LSC","SPRINKLER SYSTEM - INSTALLATION","2","1","0","K307","0351","08/08/2017","0","0"
"0C38","Health","INVESTIGATE/PREVENT/CORRECT ALLEGED VIOLATION","2","1","0","FF11","0610","08/14/2019","1","0"
"0C38","Health","REPORTING OF REASONABLE SUSPICION OF A CRIME","2","1","0","FF11","0608","08/14/2019","1","0"
"0COR","LSC","DISCHARGE FROM EXITS","1","2","0","K307","0271","06/22/2018","0","0"
"0COR","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","1","0","K307","0921","06/22/2018","0","0"
"0COR","LSC","FIRE DRILLS","2","2","0","K307","0712","06/22/2018","0","0"
"0COR","LSC","GAS EQUIPMENT - CYLINDER AND CONTAINER STORAG","2","1","0","K307","0923","06/22/2018","0","0"
"0COR","LSC","HAZARDOUS AREAS - ENCLOSURE","2","1","0","K307","0321","06/22/2018","0","0"
"0COR","LSC","RAMPS AND OTHER EXITS","2","1","0","K307","0227","06/22/2018","0","0"
"0COR","LSC","RUBBISH CHUTES, INCINERATORS, AND LAUNDRY CHU","1","2","0","K307","0541","06/22/2018","0","0"
"0CT5","Health","DEFINITIONS","2","1","0","E3BP","0400","12/30/2016","0","0"
"0CT5","Health","INFECTION CONTROL, PREVENT SPREAD, LINENS","2","1","0","FF09","0441","12/30/2016","0","0"
"0CT5","Health","PASRR REQUIREMENTS FOR MI & MR","2","1","0","FF09","0285","12/30/2016","0","0"
"0CT5","Health","RES RECORDS-COMPLETE/ACCURATE/ACCESSIBLE","2","1","0","FF09","0514","12/30/2016","0","0"
"0E4H","Health","BASELINE CARE PLAN","2","1","0","FF11","0655","09/06/2019","0","0"
"0E4H","Health","FREE FROM UNNEC PSYCHOTROPIC MEDS/PRN USE","2","1","0","FF11","0758","09/06/2019","0","0"
"0E4H","Health","INFECTION PREVENTION & CONTROL","2","2","0","FF11","0880","09/06/2019","0","0"
"0E4H","Health","TUBE FEEDING MGMT/RESTORE EATING SKILLS","2","1","0","FF11","0693","09/06/2019","0","0"
"0E4H","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","1","0","K307","0921","09/06/2019","0","0"
"0E4H","LSC","SUBDIVISION OF BUILDING SPACES - SMOKE BARRIE","2","1","0","K307","0372","09/06/2019","0","0"
"0E9J","Health","ACCURACY OF ASSESSMENTS","2","1","0","FF11","0641","10/24/2018","0","0"
"0E9J","Health","CARE PLAN TIMING AND REVISION","2","1","0","FF11","0657","10/24/2018","0","0"
"0E9J","Health","ENCODING/TRANSMITTING RESIDENT ASSESSMENTS","2","1","0","FF11","0640","10/24/2018","0","0"
"0E9J","Health","INFECTION PREVENTION & CONTROL","2","2","0","FF11","0880","10/24/2018","0","0"
"0E9J","LSC","BUILDING CONSTRUCTION TYPE AND HEIGHT","1","2","0","K307","0161",".","0","0"
"0E9J","LSC","DISCHARGE FROM EXITS","2","1","0","K307","0271","11/16/2018","0","0"
"0EG7","Health","FREQUENCY OF MEALS/SNACKS AT BEDTIME","1","3","0","FF11","0809","06/27/2018","0","0"
"0EG7","Health","INFECTION PREVENTION & CONTROL","2","3","0","FF11","0880","06/27/2018","0","0"
"0EG7","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","2","0","K307","0916","06/13/2018","0","0"
"0EG7","LSC","HOSPITAL CAH AND LTC EMERGENCY POWER","1","3","0","EP01","0041","06/13/2018","0","0"
"0EG7","LSC","SPRINKLER SYSTEM - INSTALLATION","2","1","0","K307","0351","06/13/2018","0","0"
"0EG7","LSC","SUBDIVISION OF BUILDING SPACES - SMOKE BARRIE","2","1","0","K307","0372","06/13/2018","0","0"
"0EQV","Health","ACTIVITIES MEET INTEREST/NEEDS EACH RESIDENT","2","1","0","FF11","0679","08/08/2019","1","0"
"0EQV","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","2","0","FF11","0656","08/08/2019","0","0"
"0EQV","Health","DISPOSE GARBAGE AND REFUSE PROPERLY","2","1","0","FF11","0814","08/08/2019","0","0"
"0EQV","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","2","0","FF11","0812","08/08/2019","0","0"
"0EQV","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","2","0","FF11","0689","08/08/2019","0","0"
"0EQV","Health","FREE OF MEDICATION ERROR RTS 5 PRCNT OR MORE","2","1","0","FF11","0759","08/08/2019","0","0"
"0EQV","Health","INFECTION PREVENTION & CONTROL","2","2","0","FF11","0880","08/08/2019","0","0"
"0EQV","Health","MENUS MEET RESIDENT NDS/PREP IN ADV/FOLLOWED","2","2","0","FF11","0803","08/08/2019","0","0"
"0EQV","Health","NUTRITION/HYDRATION STATUS MAINTENANCE","2","1","0","FF11","0692","08/08/2019","0","0"
"0EQV","Health","PERSONAL FOOD POLICY","2","2","0","FF11","0813","08/08/2019","0","0"
"0EQV","Health","RESIDENT RECORDS - IDENTIFIABLE INFORMATION","2","1","0","FF11","0842","08/08/2019","0","0"
"0EQV","Health","RESIDENT RIGHTS/EXERCISE OF RIGHTS","2","1","0","FF11","0550","08/08/2019","0","0"
"0EQV","Health","TREATMENT/SERVICE FOR DEMENTIA","2","1","0","FF11","0744","08/08/2019","0","0"
"0EQV","Health","TREATMENT/SRVCS MENTAL/PSYCHOSCIAL CONCERNS","2","1","0","FF11","0742","08/08/2019","0","0"
"0EQV","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","2","0","K307","0921","08/08/2019","0","0"
"0EQV","LSC","ROLES UNDER A WAIVER DECLARED BY SECRETARY","2","2","0","EP01","0026","08/08/2019","0","0"
"0EQV","LSC","SPRINKLER SYSTEM - INSTALLATION","2","1","0","K307","0351","08/08/2019","0","0"
"0ER2","Health","CARE PLAN TIMING AND REVISION","2","1","0","FF11","0657","06/22/2018","0","0"
"0ER2","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","2","0","FF11","0656","06/22/2018","0","0"
"0ER2","Health","DIALYSIS","2","1","0","FF11","0698","06/22/2018","0","0"
"0ER2","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","1","0","FF11","0689","06/22/2018","0","0"
"0ER2","Health","LABEL/STORE DRUGS AND BIOLOGICALS","2","1","0","FF11","0761","06/22/2018","0","0"
"0ER2","LSC","BUILDING CONSTRUCTION TYPE AND HEIGHT","2","2","0","K307","0161",".","0","1"
"0ER2","LSC","SMOKE DETECTION","2","1","0","K307","0347","06/22/2018","0","0"
"0ER2","LSC","SUBDIVISION OF BUILDING SPACES - SMOKE BARRIE","2","2","0","K307","0374","06/22/2018","0","0"
"0ER2","LSC","VERTICAL OPENINGS - ENCLOSURE","2","2","0","K307","0311","06/22/2018","0","0"
"0FNP","Health","DEVELOP COMPREHENSIVE CARE PLANS","2","1","0","FF10","0279","07/10/2017","0","0"
"0FNP","Health","DRUG REGIMEN IS FREE FROM UNNECESSARY DRUGS","2","2","0","FF10","0329","07/10/2017","0","0"
"0FNP","Health","FOOD PROCURE, STORE/PREPARE/SERVE - SANITARY","2","2","0","FF10","0371","07/10/2017","0","0"
"0FNP","Health","INFECTION CONTROL","2","2","0","ZT1N","210","07/10/2017","0","0"
"0FNP","Health","INVESTIGATE/REPORT ALLEGATIONS/INDIVIDUALS","2","1","0","FF10","0225","07/10/2017","0","0"
"0FNP","Health","PASRR REQUIREMENTS FOR MI & MR","2","1","0","FF10","0285","07/10/2017","0","0"
"0FNP","Health","RES RECORDS-COMPLETE/ACCURATE/ACCESSIBLE","2","2","0","FF10","0514","07/10/2017","0","0"
"0FNP","Health","RESIDENTS FREE OF SIGNIFICANT MED ERRORS","2","1","0","FF10","0333","07/10/2017","0","0"
"0FNP","Health","TREATMENT/SVCS TO PREVENT/HEAL PRESSURE SORES","2","1","0","FF10","0314","07/10/2017","0","0"
"0FNP","LSC","ELECTRICAL EQUIPMENT - POWER CORDS AND EXTENS","2","2","0","K307","0920","07/10/2017","0","0"
"0FNP","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","2","0","K307","0921","07/10/2017","0","0"
"0GMU","Health","ACCURACY OF ASSESSMENTS","2","2","0","FF11","0641","06/30/2020","0","0"
"0GMU","Health","COMPREHENSIVE ASSESSMENTS & TIMING","2","1","0","FF11","0636","06/30/2020","0","0"
"0HM0","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","05/13/2019","0","0"
"0HM0","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","1","0","FF11","0812","05/13/2019","0","0"
"0HM0","Health","FREE FROM UNNEC PSYCHOTROPIC MEDS/PRN USE","2","1","0","FF11","0758","05/13/2019","0","0"
"0HM0","LSC","SPRINKLER SYSTEM - INSTALLATION","2","2","0","K307","0351","06/11/2019","0","0"
"0IPJ","Health","DEPARTMENT CRIMINAL HISTORY REVIEW","2","1","0","E3BP","0808","07/23/2018","0","0"
"0IPJ","Health","DEPARTMENT CRIMINAL HISTORY REVIEW","2","1","0","E3BP","0818","07/23/2018","0","0"
"0IPJ","Health","DIALYSIS","2","1","0","FF11","0698","07/23/2018","0","0"
"0IPJ","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","1","0","FF11","0812","07/23/2018","0","0"
"0IPJ","Health","FREE FROM INVOLUNTARY SECLUSION","2","1","0","FF11","0603","07/23/2018","1","0"
"0IPJ","Health","INFECTION PREVENTION & CONTROL","2","1","0","FF11","0880","07/23/2018","0","0"
"0IPJ","Health","INVESTIGATE/PREVENT/CORRECT ALLEGED VIOLATION","2","1","0","FF11","0610","07/23/2018","1","0"
"0IPJ","Health","RESPECT, DIGNITY/RIGHT TO HAVE PRSNL PROPERTY","2","1","0","FF11","0557","07/23/2018","0","0"
"0IPJ","Health","RIGHT TO BE FREE FROM PHYSICAL RESTRAINTS","2","1","0","FF11","0604","07/23/2018","1","0"
"0IPJ","Health","RIGHT TO BE INFORMED/MAKE TREATMENT DECISIONS","2","1","0","FF11","0552","07/23/2018","0","0"
