"FACILITY_ID","FACILITY_NAME","CERTIFICATION_NUMBER","AREA_OFFICE_ABBREV","FACILITY_ADDRESS_1","FACILITY_ADDRESS_2","FACILITY_CITY","FACILITY_ZIP","COUNTY","PHONE","FACILITY_WEBSITE","OPERATOR","OPERATOR_ADDRESS_1","OPERATOR_ADDRESS_2","OPERATOR_CITY","OPERATOR_STATE","OPERATOR_ZIP","MEDICARE_CERTIFIED","MEDICARE_NUMBER","MEDICAID_CERTIFIED","OWNERSHIP","MULTICAMPUS_FACILITY_ID","NOTES","OCCUPANCY_RATE","OCCUPANCY_REPORT_DATE","OCCUPANCY_EXCEPTION_COMMENT","AVERAGE_OCCUPIED_BEDS","INSP_STANDARD_HEALTH","INSP_LSC","INSP_TOTAL","INSP_HARM","INSP_PERCENT_HARM","COMP_RECEIVED","COMP_RECEIVED_PER_100","COMP_SELF_REPORTED","COMP_ONSITE","COMP_CITATIONS","COMP_CITATIONS_PER_100","ALL_SURVEYS","COMP_DEF_ADMINISTRATION","COMP_DEF_QUALITY_OF_CARE","COMP_DEF_RESIDENT_RIGHTS","COMP_DEF_RESIDENT_ASSESSMENT","COMP_DEF_DIETARY_SERVICES","COMP_DEF_PHYSICAL_ENVIRONMENT","COMP_DEF_OTHER_SERVICES","COMP_DEF_TOTAL","TOTAL_BEDS","EMPLOYEE_FLU_VACCINATION_RATE","VACCINATION_RATE_REPORT_DATE"
"42","United Health Services Hospitals Inc. - Binghamton General Hospital","0303001H","3SYR","10-42 Mitchell Avenue","","Binghamton","13903","Broome","6077622200","#https://www.nyuhs.org/locations/senior-living-at-ideal/#","United Health Services Hospitals Inc","Po Box 54o","","Johnson City","NY","13790","1","335851","0","Voluntary--Not for Profit Corporation","","","0.00","01JAN1960","Data not available.","0","0","1","1","0","0.00","2","0.0","0.50","1","0","0.0","4","0","0","0","0","0","0","0","0","220","0.00","01JAN1960"
"48","Elizabeth Church Manor Nursing Home","0301307N","3SYR","863 Front Street","","Binghamton","13905","Broome","6077223463","#https://www.unitedmethodisthomes.org/locations/#","UMH ECM Corp.","863 Front Street","","Binghamton","NY","13905","1","335090","1","Voluntary--Not for Profit Corporation","","","0.88","14OCT2020","","117","11","12","23","0","0.00","89","76.2","0.94","13","1","0.9","4","0","0","0","1","0","0","0","1","120","0.84","31OCT2019"
"49","Good Shepherd-Fairview Home Inc","0301305N","3SYR","80 Fairview Avenue","","Binghamton","13904","Broome","6077242477","#https://www.goodshepherdcommunities.org/#","Good Shepherd-Fairview Home Inc","80 Fairview Avenue","","Binghamton","NY","13904","1","335527","1","Voluntary--Not for Profit Corporation","","","0.78","21OCT2020","","51","4","7","11","0","0.00","48","93.8","0.88","10","0","0.0","3","0","0","0","0","0","0","0","0","54","0.85","31OCT2019"
"50","Bridgewater Center for Rehabilitation & Nursing, LLC","0301308N","3SYR","159-163 Front Street","","Binghamton","13905","Broome","6077227225","#http://www.bwrehab.com/#","Bridgewater Center for Rehabilitation and Nursing, LLC","159-163 Front Street","","Binghamton","NY","13905","1","335228","1","Proprietary--LLC","","","0.72","14OCT2020","","316","27","14","41","0","0.00","214","67.7","0.55","56","13","4.1","9","1","7","1","2","1","1","0","13","356","0.97","31OCT2019"
"56","Absolut Center for Nursing and Rehabilitation at Endicott, LLC","0302303N","3SYR","301 Nantucket Drive","","Endicott","13760","Broome","6077542705","#http://www.absolutcare.com/locations/?id=60#","Absolut Center for Nursing and Rehabilitation at Endicott, LLC","301 Nantucket Drive","","Endicott","NY","13760","1","335371","1","Proprietary--LLC","","","0.90","21OCT2020","","142","29","12","41","2","0.05","182","128.2","0.72","37","11","7.7","10","0","5","4","0","0","0","2","11","160","0.84","31OCT2019"
"59","Ideal Senior Living Center","0302302N","3SYR","601 High Avenue","","Endicott","13760","Broome","6077867308","#http://www.uhs.net/?id=185&sid=1#","Ideal Senior Living Center Inc","601 High Avenue","","Endicott","NY","13760","1","335520","1","Voluntary--Not for Profit Corporation","","","0.93","21OCT2020","","143","18","10","28","1","0.04","42","29.5","0.71","14","7","4.9","6","0","3","4","0","0","0","0","7","150","0.93","31OCT2019"
"60","Susquehanna Nursing & Rehabilitation Center, LLC","0303307N","3SYR","282 Riverside Dr","","Johnson City","13790","Broome","6077299206","#https://www.susquehannanursing.com/#","Susquehanna Nursing & Rehabilitation Center, LLC","282 Riverside Drive","","Johnson City","NY","13790","1","335393","1","Proprietary--LLC","","","0.83","21OCT2020","","147","23","6","29","0","0.00","51","34.7","0.37","23","5","3.4","7","0","5","0","0","0","0","0","5","160","0.86","31OCT2019"
"64","Willow Point Rehabilitation and Nursing Center","0364301N","3SYR","3700 Old Vestal Road","","Vestal","13850","Broome","6077634400","#http://www.gobroomecounty.com/wpnf/#","County of Broome","Government Plaza - Po Box 1766","","Binghamton","NY","13902","1","335291","1","Public--County","","","0.71","21OCT2020","","293","18","13","31","1","0.03","199","68.0","0.87","44","10","3.4","9","0","3","4","0","0","0","3","10","300","0.90","31OCT2019"
"71","The Pines Healthcare & Rehabilitation Centers Olean Campus","0401303N","1BUFF","2245 West State Street","","Olean","14760","Cattaraugus","7163731910","#https://pinescare.com/olean#","County of Cattaraugus","302 Laurens Street","","Olean","NY","14760","1","335357","1","Public--County","","","0.82","21OCT2020","","119","25","9","34","3","0.09","68","57.3","0.75","14","13","11.0","9","2","5","5","0","0","0","1","13","120","0.95","31OCT2019"
"73","Absolut Center for Nursing and Rehabilitation at Allegany, LLC","0420302N","1BUFF","2178 North Fifth Street","","Allegany","14706","Cattaraugus","7163732238","#http://www.absolutcare.com/locations/?id=54#","Absolut Center for Nursing and Rehabilitation at Allegany, LLC","2178 North Fifth Street","","Allegany","NY","14706","1","335610","1","Proprietary--LLC","","","0.92","21OCT2020","","35","5","4","9","0","0.00","17","48.6","0.76","4","0","0.0","4","0","0","0","0","0","0","0","0","37","1.00","31OCT2019"
"81","Salamanca Rehabilitation & Nursing Center","0433303N","1BUFF","451 Broad Street","","Salamanca","14779","Cattaraugus","7169451800","#https://salamancarnc.com/#","Absolut Center for Nursing and Rehabilitation at Salamanca, LLC","451 Broad Street","","Salamanca","NY","14779","1","335534","1","Proprietary--LLC","","","0.80","21OCT2020","","102","32","36","68","0","0.00","92","90.5","0.67","9","7","6.9","5","2","1","1","0","3","0","0","7","120","0.92","31OCT2019"
"83","The Pines Healthcare & Rehabilitation Centers  Machias Campus","0469300N","1BUFF","9822 Route 16","","Machias","14101","Cattaraugus","7163538516","#https://pinescare.com/machias#","County of Cattaraugus","302 Laurens Street","","Olean","NY","14760","1","335578","1","Public--County","","","0.91","21OCT2020","","113","8","12","20","0","0.00","71","62.9","0.97","11","0","0.0","4","0","0","0","0","0","0","0","0","115","0.81","31OCT2019"
"91","Auburn Rehabilitation & Nursing Center","0501310N","3SYR","85 Thornton Avenue","","Auburn","13021","Cayuga","3152537351","#https://auburnrehab.com/#","AURNC Operating LLC","20 Wood Ct","","Tarrytown","NY","10591","1","335004","1","Proprietary--LLC","","","0.83","21OCT2020","","83","29","16","45","1","0.02","94","113.7","0.65","35","10","12.1","9","1","5","2","1","0","0","1","10","92","0.00","01JAN1960"
"92","The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community","0566302N","3SYR","3 St Anthony Street","","Auburn","13021","Cayuga","3152530351","#https://www.lorettocny.org/locations/commons-st-anthony#","Auburn Senior Services, Inc.","7451 County House Road","","Auburn","NY","13021","1","335382","1","Voluntary--Not for Profit Corporation","","","0.90","21OCT2020","","268","21","6","27","1","0.04","371","138.4","0.92","23","6","2.2","8","1","2","1","2","0","0","0","6","300","0.89","31OCT2019"
"96","Northwoods Rehabilitation and Nursing Center at Moravia","0526304N","3SYR","7 Keeler Avenue","","Moravia","13118","Cayuga","3154970440","#http://www.northwoodscenter.com/#","Northwoods Operations Associates LLC","7 Keeler Avenue","","Moravia","NY","13118","1","335077","1","Proprietary--LLC","","","0.85","21OCT2020","","34","18","12","30","1","0.03","51","149.1","0.73","13","7","20.5","6","0","4","1","1","0","0","1","7","40","0.92","31OCT2019"
"99","Chautauqua Nursing and Rehabilitation Center","0601304N","1BUFF","10836 Temple Road","","Dunkirk","14048","Chautauqua","7163666400","#http://ctnrc.com/#","Dunkirk Operating, LLC","10836 Temple Road","","Dunkirk","NY","14048","1","335485","1","Proprietary--Business Corporation","","","0.83","21OCT2020","","209","7","6","13","0","0.00","155","74.1","0.83","17","2","1.0","4","0","0","0","0","0","0","2","2","216","0.94","31OCT2019"
"106","Heritage Park Rehab & Skilled Nursing","0602310N","1BUFF","150 Prather Avenue","","Jamestown","14701","Chautauqua","7164881921","#https://www.heritage1886.org/locations/park/#","The Gerry Homes, Inc","Heritage Village Route 60","","Gerry","NY","14760","1","335142","1","Voluntary--Not for Profit Corporation","","","0.94","21OCT2020","","140","7","2","9","0","0.00","93","66.4","0.90","7","0","0.0","3","0","0","0","0","0","0","0","0","146","0.97","31OCT2019"
"107","Lutheran Retirement Home","0602308N","1BUFF","715 Falconer Street","","Jamestown","14701","Chautauqua","7166654905","#http://www.lutheran-jamestown.org/#","Lutheran Social Service of Upstate NY Inc","715 Falconer Street","","Jamestown","NY","14701","1","335268","1","Voluntary--Not for Profit Corporation","","","0.82","21OCT2020","","153","5","11","16","0","0.00","44","28.7","0.68","13","1","0.7","3","0","0","0","0","0","0","1","1","148","0.91","31OCT2019"
"112","Heritage Village Rehab and Skilled Nursing, Inc.","0662301N","1BUFF","4570 Route 60","","Gerry","14740","Chautauqua","7169854612","#http://www.heritage1886.org/new/index.php?option=com_content&view=article&id=33&Itemid=207#","Heritage Village Rehab and Skilled Nursing, Inc.","4570 Route 60","","Gerry","NY","14740","1","335353","1","Voluntary--Not for Profit Corporation","","","0.91","21OCT2020","","116","8","10","18","0","0.00","217","187.1","0.95","13","3","2.6","4","0","0","2","1","0","0","0","3","120","0.96","31OCT2019"
"119","St. Joseph's Hospital - Skilled Nursing Facility","0701302N","2ROCH","555 St. Joseph's Boulevard","","Elmira","14902","Chemung","6077336541","#http://www.arnothealth.org/long-term-care-st-josephs-hospital#","Arnot Ogden Medical Center","600 Roe Avenue","","Elmira","NY","14905","1","335072","1","Voluntary--Not for Profit Corporation","","","0.98","21OCT2020","","75","21","13","34","0","0.00","27","35.8","0.44","14","1","1.3","5","0","1","0","0","0","0","0","1","85","0.00","01JAN1960"
"123","Chemung County Health Center-Nursing Facility","0701301N","2ROCH","103 Washington Street","","Elmira","14901","Chemung","6077372001","#https://www.chemungcountyny.gov/departments/h_-_n_departments/nursing_facility/index.php#","County of Chemung","255 Lake Street","","Elmira","NY","14901","1","335480","1","Public--County","","","0.80","21OCT2020","","191","14","3","17","0","0.00","80","42.0","0.90","25","2","1.0","4","0","0","2","0","0","0","0","2","200","0.88","31OCT2019"
"124","Elcor Nursing and Rehabilitation Center","0722304N","2ROCH","48 Colonial Drive","","Horseheads","14845","Chemung","6077390304","#https://elcor.us/#","Elcor Operating Company, LLC","300 Gleed Avenue","","East Aurora","NY","14052","1","335053","1","Proprietary--LLC","","","0.94","21OCT2020","","292","9","11","20","0","0.00","251","85.9","0.89","42","0","0.0","3","0","0","0","0","0","0","0","0","305","0.86","31OCT2019"
"126","ChaseHealth Rehab and Residential Care","0823300N","3SYR","One Terrace Heights, P.O. Box 250","","New Berlin","13411","Chenango","6078477000","#http://www.chasenursinghome.com/#","Chase Memorial Nursing Home Company Inc","1 Terrace Heights","","New Berlin","NY","13411","1","335344","1","Voluntary--Not for Profit Corporation","","","0.85","21OCT2020","","76","7","9","16","0","0.00","67","88.1","0.91","7","2","2.6","4","0","1","0","0","0","0","1","2","80","0.91","31OCT2019"
"129","Chenango Memorial Hospital Inc SNF","0824000N","3SYR","179 North Broad Street","","Norwich","13815","Chenango","6073374111","#https://www.nyuhs.org/locations/uhs-chenango-memorial-hospital/#","Chenango Memorial Hospital Inc","179 North Broad Street","","Norwich","NY","13815","1","335355","1","Voluntary--Not for Profit Corporation","","","0.53","21OCT2020","","69","11","9","20","0","0.00","12","17.4","0.67","5","0","0.0","4","0","0","0","0","0","0","0","0","80","1.00","31OCT2019"
"131","Valley View Manor Nursing Home","0824303N","3SYR","40 Park Street","","Norwich","13815","Chenango","6073349931","#https://www.valleyviewmanorrehab.com/#","Valley View Manor,LLC","40 Park Street","","Norwich","NY","13815","1","335208","1","Proprietary--LLC","","","0.80","21OCT2020","","77","28","12","40","0","0.00","109","142.5","0.56","20","9","11.8","5","0","5","1","0","0","0","3","9","82","1.00","31OCT2019"
"133","NYS Veterans Home","0825301N","3SYR","4211 State Highway 220","","Oxford","13830","Chenango","6078433100","#http://www.nysvets.org/homes/oxford/#","New York State Department of Health","Empire State Plaza","Corning Tower  Room 1683","Albany","NY","12237","1","335097","1","Public--State","","","0.61","21OCT2020","","217","7","3","10","0","0.00","82","37.8","0.95","19","4","1.8","6","0","1","1","0","0","0","2","4","242","0.85","31OCT2019"
"136","Champlain Valley Physicians Hospital Medical Center SNF","0901001N","4TROY","75 Beekman Street","","Plattsburg","12901","Clinton","5185612000","#https://www.cvph.org/Departments-and-Programs/Skilled-Nursing/#","Champlain Valley Physicians Hospital Medical Center Inc","100 Beekman Street","","Plattsburgh","NY","12901","1","335442","1","Voluntary--Not for Profit Corporation","","","0.59","21OCT2020","","74","21","15","36","0","0.00","41","55.2","0.88","10","3","4.0","6","1","0","1","1","0","0","0","3","54","1.00","31OCT2019"
"139","Plattsburgh Rehabilitation and Nursing Center","0901304N","4TROY","8 Bushey Boulevard","","Plattsburgh","12901","Clinton","5185633261","#https://plattsburghrehab.com/#","PRNC Operating, LLC","8 Bushey Blvd.","","Plattsburgh","NY","12901","1","335528","1","Proprietary--LLC","","","0.80","21OCT2020","","85","15","9","24","0","0.00","31","36.5","0.52","8","3","3.5","4","0","1","0","0","0","0","2","3","89","0.96","31OCT2019"
"140","Meadowbrook Healthcare","0901303N","4TROY","154 Prospect Avenue","","Plattsburgh","12901","Clinton","5185635440","#http://www.meadowbrookhealth.com/#","CGSR, Inc","80 North Prospect Avenue","","Plattsburgh","NY","12901","1","335438","1","Proprietary--Business Corporation","","","0.74","21OCT2020","","211","18","13","31","0","0.00","48","22.8","0.63","12","2","1.0","5","0","1","0","0","0","0","0","1","287","0.96","31OCT2019"
"144","Clinton County Nursing Home","0952300N","4TROY","16 Flynn Avenue","","Plattsburgh","12901","Clinton","5185630950","#http://www.clintoncountygov.com/Departments/NursingHome/NursingHomeHomePage.html#","County of Clinton","3 Flynn Avenue","","Plattsburgh","NY","12901","1","335598","1","Public--County","","","0.80","14OCT2020","","78","27","15","42","0","0.00","23","29.5","0.43","10","2","2.6","6","0","1","0","1","0","0","0","2","80","0.99","31OCT2019"
"150","FASNY Firemen's Home","1001303N","4TROY","125 Harry-Howard Avenue","","Hudson","12534","Columbia","5188287695","#http://www.firemenshome.com/#","Firemans Association of the State of New York","Harry-Howard Avenue","","Hudson","NY","12534","0","","0","Voluntary--Not for Profit Corporation","","","0.93","21OCT2020","","77","9","0","9","0","0.00","15","19.6","0.53","6","0","0.0","4","0","0","0","0","0","0","0","0","92","0.89","31OCT2019"
"152","Pine Haven Home","1021301N","4TROY","NY Route 217","","Philmont","12565","Columbia","5186724021","#https://pinehavencarecenter.com/#","Pine Haven Operating, LLC","NY Rt. 217","","Philmont","NY","12565","1","335632","1","Proprietary--LLC","","","0.68","21OCT2020","","110","32","25","57","0","0.00","71","64.8","0.69","18","4","3.7","7","0","2","0","1","0","1","0","4","120","0.95","31OCT2019"
"154","The Grand Rehabilitation and Nursing at Barnwell","1023302N","4TROY","3230 Church Street","","Valatie","12184","Columbia","5187586222","#http://facilities.thegrandhealthcare.com/barnwell#","Barnwell Operations Associates LLC","3230 Church Street","","Valatie","NY","12184","1","335565","1","Proprietary--LLC","","","0.69","21OCT2020","","218","66","19","85","2","0.02","274","125.7","0.42","60","33","15.1","15","4","6","9","2","2","0","9","32","236","0.88","31OCT2019"
"156","Livingston Hills Nursing and Rehabilitation Center","1063302N","4TROY","2781 Route 9","P.O. Box 95","Livingston","12541","Columbia","5188513041","#http://livingstonhills.com/#","Livingston S and V Operations LLC","Gutnicki LLP, 4711 Gold Road, Suite 200","","Skokie","IL","60076","1","335389","1","Proprietary--LLC","","","0.81","30SEP2020","","109","42","21","63","0","0.00","97","88.6","0.54","15","16","14.6","7","2","5","1","4","0","1","3","16","120","0.88","31OCT2019"
"160","Cortland Park Rehabilitation and Nursing Center","1101310N","3SYR","193 Clinton Avenue","","Cortland","13045","Cortland","6077569921","#http://www.cortlandparkrehab.com/#","CRNC, LLC","1Hillcrest Center Drive","Suite 225","Spring Valley","NY","10977","1","335218","1","Proprietary--LLC","","","0.88","21OCT2020","","113","6","6","12","0","0.00","85","75.4","0.52","16","2","1.8","4","1","0","0","0","0","0","1","2","120","0.98","31OCT2019"
"161","Crown Park Rehabilitation and Nursing Center","1101312N","3SYR","28 Kellogg Road","","Cortland","13045","Cortland","6077539631","#http://crowncenterrehab.com/#","CCRNC, LLC","1 Hill Crest Ctr - Suite 325","","Spring Valley","NY","10977","1","335392","1","Proprietary--LLC","","","0.75","07OCT2020","","183","24","1","25","1","0.04","162","88.4","0.67","29","8","4.4","6","1","3","1","1","0","0","2","8","200","1.00","31OCT2019"
"169","Robinson Terrace Rehabilitation and Nursing Center","1225001N","4TROY","28652 State Highway 23","","Stamford","12167","Delaware","6076527521","#http://www.robinsonterrace.com/longterm#","RTRNC, LLC","28652 State Highway 23","","Stamford","NY","12167","1","335236","1","Proprietary--LLC","","","0.97","21OCT2020","","114","20","13","33","0","0.00","106","93.0","0.83","20","1","0.9","3","0","0","0","0","1","0","0","1","120","0.82","31OCT2019"
"171","Mountainside Residential Care Center","1226300N","4TROY","42158 State Highway #28","","Margaretville","12455","Delaware","8455861800","#https://www.hahv.org/mountainside-residential-care-center#","Margaretville Nursing Home, Inc","Route 28","","Margaretville","NY","12455","1","335339","1","Voluntary--Not for Profit Corporation","","","0.94","21OCT2020","","78","11","14","25","0","0.00","32","40.8","0.94","5","2","2.6","4","0","1","0","0","0","0","1","2","82","0.94","31OCT2019"
"186","The Pines at Poughkeepsie Center for Nursing & Rehabilitation","1302308N","6NROC","100 Franklin Street","","Poughkeepsie","12601","Dutchess","8454544100","#http://www.pinesatpoughkeepsie.com/#","Poughkeepsie Crossings, LLC","100 Franklin Street","","Poughkeepsie","NY","12601","1","335440","1","Proprietary--LLC","","","0.86","14OCT2020","","187","10","2","12","0","0.00","129","68.8","0.84","15","0","0.0","4","0","0","0","0","0","0","0","0","200","0.91","31OCT2019"
"189","The Grand Rehabilitation and Nursing at Pawling","1322302N","6NROC","9 Reservoir Road","","Pawling","12564","Dutchess","8458555700","#http://facilities.thegrandhealthcare.com/pawling/#","The Center for Rehabilitation and Healthcare at Dutchess, LLC","9 Reservoir Road","","Pawling","NY","12564","1","335458","1","Proprietary--LLC","","","0.77","21OCT2020","","114","10","17","27","0","0.00","68","59.4","0.51","24","1","0.9","4","0","0","1","0","0","0","0","1","122","0.00","01JAN1960"
"191","Sapphire Nursing at Wappingers","1324303N","6NROC","37 Mesier Avenue","","Wappingers Falls","12590","Dutchess","8452973793","#http://elant.org/?page_id=139#","Sapphire Nursing at Wappingers, LLC","37 Mesier Avenue","","Wappingers Falls","NY","12590","1","335275","1","Proprietary--LLC","","","0.85","14OCT2020","","55","24","16","40","0","0.00","80","144.2","0.61","20","2","3.6","6","0","0","1","0","0","1","0","2","62","0.27","31OCT2019"
"193","Northern Dutchess Res Health Care Facility, Inc","1327302N","6NROC","6525 Springbrook Avenue","","Rhinebeck","12572","Dutchess","8458713760","#https://www.healthquest.org/affiliates/thompson-house.aspx#","Northern Dutchess Res Health Care Facility,Inc","12 Springbrook Avenue","","Rhinebeck","NY","12572","1","335348","1","Voluntary--Not for Profit Corporation","","","0.96","21OCT2020","","96","9","7","16","0","0.00","26","27.1","0.54","11","0","0.0","4","0","0","0","0","0","0","0","0","100","0.89","31OCT2019"
"194","Ferncliff Nursing Home Co Inc","1327300N","6NROC","21 Ferncliff Drive","","Rhinebeck","12572","Dutchess","8458762011","#https://www.archcare.org/nursing-homes/ferncliff#","Ferncliff Nursing Home Co Inc","Po Box 386 River Road","","Rhinebeck","NY","12572","1","335405","1","Voluntary--Not for Profit Corporation","","","0.84","21OCT2020","","307","5","6","11","0","0.00","333","108.6","0.86","31","1","0.3","3","0","1","0","0","0","0","0","1","326","0.93","31OCT2019"
"195","The Baptist Home at Brookmeade","1327301N","6NROC","46 Brookmeade Drive","","Rhinebeck","12572","Dutchess","8458762071","#http://communityatbrookmeade.com/the-baptist-home/#","Baptist Home of Brooklyn NY Inc","198 Route 308","","Rhinebeck","NY","12572","1","335613","1","Voluntary--Not for Profit Corporation","","","0.97","14OCT2020","","116","7","1","8","0","0.00","16","13.8","0.19","6","0","0.0","4","0","0","0","0","0","0","0","0","120","0.98","31OCT2019"
"201","Fishkill Center for Rehabilitation and Nursing","1301302N","6NROC","22 Robert R. Kasin Way","","Beacon","12508","Dutchess","8458318704","#http://elant.org/?page_id=136#","Yertle Operations, LLC","22 Robert R. Kasin Way","","Beacon","NY","12508","1","335750","1","Proprietary--LLC","","","0.84","21OCT2020","","149","31","6","37","0","0.00","166","111.4","0.60","53","10","6.7","6","1","3","3","1","0","1","1","10","160","0.59","31OCT2019"
"202","The Eleanor Nursing Care Center","1356303N","6NROC","419 North Quaker Lane","","Hyde Park","12538","Dutchess","8452299177","#http://www.theeleanor.net/#","Victory Lake Operations, LLC","958 Church Street","","Baldwin","NY","11510","1","335323","1","Proprietary--LLC","","","0.80","21OCT2020","","102","27","32","59","0","0.00","66","64.8","0.45","16","6","5.9","10","1","2","1","0","0","1","1","6","120","0.77","31OCT2019"
