"REG_SET_ID","TAG_NUMBER","CFR","TAG_TYPE","TAG_TITLE","TAG_TEXT"
"E3BP","0704","402.6(b)","L","CRIMINAL HISTORY RECORD CHECK PROCESS","Section 402.6 Criminal History Record Check Process.   
        ......
        (b) A provider requesting a criminal history record check pursuant to this Part shall do so by completing and submitting a form developed and provided by the Department after consultation with the Division and transmitting two sets of fingerprints to the Department. An authorized person, and only an authorized person, shall complete such form and shall submit the original with the authorized person signature (not a facsimile signature) and two sets of fingerprints to the Department not more than ten days (excluding Saturdays, Sundays and legal holidays) after taking the fingerprints of the prospective employee.  The Department shall maintain such form, in the form and format prescribed by the Department, which: 


            (1) identifies the name of each person for whom the provider requests a criminal record check, and attests that each such person is a prospective employee of the provider, and, as such, the person is a subject individual, as defined in this Part;   

            (2) identifies the specific duties of the subject individual which qualify the provider to request a check of the subject individual's criminal history information;

            (3) attests that the results of the criminal history record check will be used by the provider solely for the purposes authorized by law; and   

            (4) attests that the provider, its agents, and employees are aware of and will abide by the confidentiality requirements and all other provisions of Public Health Law Article 28-E and Executive Law section 845-b, as they may from time to time be amended.   



"
"E3BP","0722","402.6(d)","L","CRIMINAL HISTORY RECORD CHECK PROCESS","Section 402.6 Criminal History Record Check Process.   
        ......
        (d) A provider may temporarily approve a prospective employee while the results of the criminal history record check are pending. The provider shall implement the supervision requirements identified in section 402.4 of this Part, applicable to the provider, during the period of temporary employment.   


"
"E3BP","0808","402.7(a)(2)(i)","L","DEPARTMENT CRIMINAL HISTORY REVIEW","Section 402.7 Department Criminal History Review.   

        (a) After reviewing a criminal history record of an individual who is subject to a criminal history record check pursuant to this Part, the Department and the provider shall take the following actions:   
            ...... (2) Where the criminal history information of a prospective employee reveals a felony conviction at any time for a sex offense, a felony conviction within the past ten years involving violence, or a conviction for endangering the welfare of an incompetent or physically disabled person pursuant to section 260.25 of the Penal Law, or where the criminal history information concerning such prospective employee reveals a conviction at anytime of any class A felony, a conviction within the past ten years of any class B or C felony, any class D or E felony defined in articles 120, 130, 155, 160, 178 or 220 of the Penal Law or any crime defined in sections 260.32 or 260.34 of the Penal Law or any comparable offense in any other jurisdiction, the Department shall propose disapproval of such person's eligibility for employment unless the Department determines, in its discretion, that the prospective employee's employment will not in any way jeopardize the health, safety or welfare of patients, residents or clients of the provider.
(i) The Department shall provide to the provider and the prospective employee, in writing, a summary of the criminal history information along with the notification identified in this paragraph. Upon the provider's receipt from the Department of a notification of proposed disapproval of eligibility for employment, the provider shall not allow the prospective employee to provide direct care or supervision to patients, residents, or clients of such provider until receipt of a final determination of eligibility for employment from the Department.


"
"E3BP","0814","402.7(a)(3)(i)","L","DEPARTMENT CRIMINAL HISTORY REVIEW","Section 402.7 Department Criminal History Review.   

        (a) After reviewing a criminal history record of an individual who is subject to a criminal history record check pursuant to this Part, the Department and the provider shall take the following actions:   
            ......
            (3) Where the criminal history information of a prospective employee reveals a conviction for any crime other than one set forth in paragraph (2) of this subdivision, the Department may, consistent with article 23-A of the Correction Law, propose disapproval of eligibility for employment.   

                (i) The Department shall provide to the provider and the prospective employee, in writing, a summary of the prospective employee's criminal history information along with the notification identified in this paragraph.  Upon the provider's receipt from the Department of a notification of proposed disapproval of eligibility for employment, the provider shall not allow the prospective employee to provide direct care or supervision to patients, residents, or clients of such provider until receipt of a final determination from the Department.


"
"E3BP","0818","402.7(a)(4)","L","DEPARTMENT CRIMINAL HISTORY REVIEW","Section 402.7 Department Criminal History Review.   

        (a) After reviewing a criminal history record of an individual who is subject to a criminal history record check pursuant to this Part, the Department and the provider shall take the following actions:   
            ......
            (4) Where the criminal history information of a prospective employee reveals a charge for any felony, the Department shall hold the determination regarding a prospective employee's eligibility for employment in abeyance until the charge is finally resolved.  Upon receipt of notification from the Department of the abeyance, the provider shall not allow the prospective employee to provide direct care or supervision to patients, residents, or clients of such provider before final resolution of the criminal charge.



"
"E3BP","0830","402.7(d)(2)","L","DEPARTMENT CRIMINAL HISTORY REVIEW","Section 402.7 Department Criminal History Review.   
        ......
        (d) Documentation and confidentiality requirements.   
            ......
            (2) Each authorized person(s) and any other party to whom such criminal history information is disclosed shall keep criminal history information strictly confidential.   

"
"E3BP","1004","402.9(a)(1)","L","RESPONSIBILITIES OF PROVIDERS; REQUIRED NOTIF","Section 402.9 Responsibilities of Providers; Required Notifications.   

        (a) Recordkeeping.  

            (1) Each provider shall establish, maintain, and keep current, a record of:   

                (i) a roster of current employees who were reviewed pursuant to this Part and a list of their staffing assignments; such roster shall be submitted by April 1 of each year or upon written request of the Department in a form and format specified by the Commissioner.   

                (ii) the names of each person for whom a request for a criminal history information was submitted to the Department;   

                (iii) for each such name recorded pursuant to subparagraph (ii) hereof, a copy of the signed informed consent form required pursuant to section 402.5 of this Part,   

                (iv) and the results of the criminal history record check and determination of the Department with regard to the employment; and   

                (v) for certified home health care agencies, licensed home care services agencies or long term home health care programs licensed or certified under Article 36 of the Public Health Law, the onsite supervision and alternate week contacts made for assessment of temporary employees as set forth in Section 402.4(b)(2)(ii) of this Title.   

"
"E3BP","1020","402.9(b)(1)","L","RESPONSIBILITIES OF PROVIDERS; REQUIRED NOTIF","Section 402.9 Responsibilities of Providers; Required Notifications.   
        ......
        (b)(b)  Notifications.  A provider must immediately, but within no later than 30 calendar days after the event, notify the Department, and document such notification occurred, when:

            (1)  any prospective employee who is subject to a criminal history record check in accordance with this Part withdraws an application for employment or is no longer being considered as a prospective employee as defined in this Part; or

(2)  any employee who was subject to, and underwent, a criminal history record check in accordance with this Part is no longer employed by the provider.

(3)  any employee once subject to, and underwent, a criminal history record check in accordance with this Part but is no longer working in a position defined in section 403.2(e) of this Title for the provider.

            (c)  Retention and disposal of information.  (1)  Each provider subject to the provisions of this Part shall maintain information necessary to demonstrate compliance with this Part, as set forth in subdivision (a) of this section, for at least six years after the person ceases to be a subject individual, unless otherwise directed by the Department.




"
"E3BP","1022","402.9(b)(2)","L","RESPONSIBILITIES OF PROVIDERS; REQUIRED NOTIF","Section 402.9 Responsibilities of Providers; Required Notifications.   
        ......
        (b) Notifications. A provider must immediately, but within no later than 30 calendar days after the event, notify the Department, and document such notification occurred, when:   
            ......
            (2) any employee who was subject to, and underwent, a criminal history record check in accordance with this Part is no longer employed by the provider.   

"
"E3BP","1026","402.9(c)","L","RESPONSIBILITIES OF PROVIDERS; REQUIRED NOTIF","Section 402.9 Responsibilities of Providers; Required Notifications.   
        ......
        (c) Retention and disposal of information. 

            (1) Each provider subject to the provisions of this Part shall maintain information necessary to demonstrate compliance with this Part, as set forth in subdivision (a) of this section, for at least six years after the person ceases to be a subject individual, unless otherwise directed by the Department.   

            (2) If directed to do so by the Department, a provider subject to this Part shall dispose of the summary of the criminal history information and/or any other information related to criminal history record checks in accordance with such direction.   

            (3) Disposal of the criminal history information and records of Department determinations shall be performed in a manner that ensures the confidentiality of the information.   

"
"E3BP","1034","402.9(d)","L","RESPONSIBILITIES OF PROVIDERS; REQUIRED NOTIF","Section 402.9 Responsibilities of Providers; Required Notifications.   
        ......
        (d) Policies and procedures. Each provider subject to the provisions of this Part shall have policies and procedures designed to implement the provisions of this Part. Amendment of existing personnel policies and procedures to reflect these new requirements is sufficient compliance with this subdivision.  



"
"EP01","0001","","C","ESTABLISHMENT OF THE EMERGENCY PROGRAM (EP)","The [facility, except for Transplant Programs] must comply with all applicable Federal, State and local emergency preparedness requirements.  The [facility] must establish and maintain a [comprehensive] emergency preparedness program that meets the requirements of this section.*  The emergency preparedness program must include, but not be limited to, the following elements:

*[For hospitals at §482.15:] The hospital must comply with all applicable Federal, State, and local emergency preparedness requirements.  The hospital must develop and maintain a comprehensive emergency preparedness program that meets the requirements of this section, utilizing an all-hazards approach.  The emergency preparedness program must include, but not be limited to, the following elements:

*[For CAHs at §485.625:] The CAH must comply with all applicable Federal, State, and local emergency preparedness requirements.  The CAH must develop and maintain a comprehensive emergency preparedness program, utilizing an all-hazards approach. The emergency preparedness program must include, but not be limited to, the following elements:"
"EP01","0004","","S","DEVELOP EP PLAN, REVIEW AND UPDATE ANNUALLY","The [facility] must comply with all applicable Federal, State and local emergency preparedness requirements.  The [facility] must develop establish and maintain a comprehensive emergency preparedness program that meets the requirements of this section.

The emergency preparedness program must include, but not be limited to, the following elements:

(a) Emergency Plan. The [facility] must develop and maintain an emergency preparedness plan that must be [reviewed], and updated at least every 2 years.  The plan must do all of the following:

* [For hospitals at §482.15 and CAHs at §485.625(a):] Emergency Plan. The [hospital or CAH] must comply with all applicable Federal, State, and local emergency preparedness requirements.  The [hospital or CAH] must develop and maintain a comprehensive emergency preparedness program that meets the requirements of this section, utilizing an all-hazards approach.

* [For LTC Facilities at §483.73(a):] Emergency Plan. The LTC facility must develop and maintain an emergency preparedness plan that must be reviewed and updated at least annually.  

* [For ESRD Facilities at §494.62(a):] Emergency Plan. The ESRD facility must develop and maintain an emergency preparedness plan that must be [evaluated], and updated at least every 2 years."
"EP01","0006","","S","PLAN BASED ON ALL HAZARDS RISK ASSESSMENT","[(a) Emergency Plan. The [facility] must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least every 2 years.  The plan must do the following:]

(1) Be based on and include a documented, facility-based and community-based risk assessment, utilizing an all-hazards approach.*

(2) Include strategies for addressing emergency events identified by the risk assessment.

*[For LTC facilities at §483.73(a)(1):] Emergency Plan. The LTC facility must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least annually. The plan must do the following: 
(1) Be based on and include a documented, facility-based and community-based risk assessment, utilizing an all-hazards approach, including missing residents.
(2) Include strategies for addressing emergency events identified by the risk assessment.

*[For ICF/IIDs at §483.475(a)(1):]  Emergency Plan. The ICF/IID must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least every 2 years. The plan must do the following: 
(1) Be based on and include a documented, facility-based and community-based risk assessment, utilizing an all-hazards approach, including missing clients.
(2) Include strategies for addressing emergency events identified by the risk assessment.

* [For Hospices at §418.113(a)(2):] Emergency Plan. The Hospice must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least every 2 years. The plan must do the following: 
(1) Be based on and include a documented, facility-based and community-based risk assessment, utilizing an all-hazards approach. 
(2) Include strategies for addressing emergency events identified by the risk assessment, including the management of the consequences of power failures, natural disasters, and other emergencies that would affect the hospice's ability to provide care."
"EP01","0007","","S","EP PROGRAM PATIENT POPULATION","[(a) Emergency Plan. The [facility] must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least every 2 years. The plan must do the following:]

(3) Address [patient/client] population, including, but not limited to, persons at-risk; the type of services the [facility] has the ability to provide in an emergency; and continuity of operations, including delegations of authority and succession plans.** 

*[For LTC facilities at §483.73(a)(3):] Emergency Plan. The LTC facility must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least annually. 
(3) Address resident population, including, but not limited to, persons at-risk; the type of services the LTC facility has the ability to provide in an emergency; and continuity of operations, including delegations of authority and succession plans.

*NOTE: [""Persons at risk"" does not apply to: ASC, hospice, PACE, HHA, CORF, CMCH, RHC/FQHC, or ESRD facilities.]"
"EP01","0009","","S","LOCAL, STATE, TRIBAL COLLABORATION PROCESS","[(a) Emergency Plan. The [facility] must develop and maintain an emergency preparedness plan that must be reviewed, and updated at least every 2 years (annually for LTC facilities). The plan must do the following:] 

(4) Include a process for cooperation and collaboration with local, tribal, regional, State, and Federal emergency preparedness officials' efforts to maintain an integrated response during a disaster or emergency situation. 

* [For ESRD facilities only at §494.62(a)(4)]: (4) Include a process for cooperation and collaboration with local, tribal, regional, State, and Federal emergency preparedness officials' efforts to maintain an integrated response during a disaster or emergency situation. The dialysis facility must contact the local emergency preparedness agency at least annually to confirm that the agency is aware of the dialysis facility's needs in the event of an emergency."
"EP01","0013","","S","DEVELOPMENT OF EP POLICIES AND PROCEDURES","(b) Policies and procedures. [Facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years. 

*[For LTC facilities at §483.73(b):] Policies and procedures. The LTC facility must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least annually.

*[For ESRD Facilities at §494.62(b):] Policies and procedures.  The dialysis facility must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years These emergencies include, but are not limited to, fire, equipment or power failures, care-related emergencies, water supply interruption, and natural disasters likely to occur in the facility's geographic area."
"EP01","0015","","S","SUBSISTENCE NEEDS FOR STAFF AND PATIENTS","[(b) Policies and procedures.  [Facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated every 2 years (annually for LTC).  At a minimum, the policies and procedures must address the following:

(1) The provision of subsistence needs for staff and patients whether they evacuate or shelter in place, include, but are not limited to the following:
	(i) Food, water, medical and pharmaceutical supplies 
	(ii) Alternate sources of energy to maintain the following:
		(A) Temperatures to protect patient health and safety and for the safe and sanitary storage of provisions.
		(B) Emergency lighting.
		(C) Fire detection, extinguishing, and alarm systems.
		(D) Sewage and waste disposal.

*[For Inpatient Hospice at §418.113(b)(6)(iii):] Policies and procedures.
(6) The following are additional requirements for hospice-operated inpatient care facilities only.  The policies and procedures must address the following:
	(iii) The provision of subsistence needs for hospice employees and patients, whether they evacuate or shelter in place, include, but are not limited to the following:
		(A) Food, water, medical, and pharmaceutical supplies.
		(B) Alternate sources of energy to maintain the following:
			(1) Temperatures to protect patient health and safety and for the safe and sanitary storage of provisions. 
			(2) Emergency lighting.
			(3) Fire detection, extinguishing, and alarm systems.
		(C) Sewage and waste disposal."
"EP01","0018","","S","PROCEDURES FOR TRACKING OF STAFF AND PATIENTS","[(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section. The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).] At a minimum, the policies and procedures must address the following:]

[(2) or (1)] A system to track the location of on-duty staff and sheltered patients in the [facility's] care during an emergency.  If on-duty staff and sheltered patients are relocated during the emergency, the [facility] must document the specific name and location of the receiving facility or other location.

*[For PRTFs at §441.184(b), LTC at §483.73(b), ICF/IIDs at §483.475(b), PACE at §460.84(b):] Policies and procedures. (2) A system to track the location of on-duty staff and sheltered residents in the [PRTF's, LTC, ICF/IID or PACE] care during and after an emergency.  If on-duty staff and sheltered residents are relocated during the emergency, the [PRTF's, LTC, ICF/IID or PACE] must document the specific name and location of the receiving facility or other location.

*[For Inpatient Hospice at §418.113(b)(6):] Policies and procedures. 
(ii) Safe evacuation from the hospice, which includes consideration of care and treatment needs of evacuees; staff responsibilities; transportation; identification of evacuation location(s) and primary and alternate means of communication with external sources of assistance. 
(v) A system to track the location of hospice employees' on-duty and sheltered patients in the hospice's care during an emergency.  If the on-duty employees or sheltered patients are relocated during the emergency, the hospice must document the specific name and location of the receiving facility or other location.

*[For CMHCs at §485.920(b):] Policies and procedures. (2) Safe evacuation from the CMHC, which includes consideration of care and treatment needs of evacuees; staff responsibilities; transportation; identification of evacuation location(s); and primary and alternate means of communication with external sources of assistance.

*[For OPOs at § 486.360(b):] Policies and procedures. (2) A system of medical documentation that preserves potential and actual donor information, protects confidentiality of potential and actual donor information, and secures and maintains the availability of records.

*[For ESRD at § 494.62(b):] Policies and procedures. (2) Safe evacuation from the dialysis facility, which includes staff responsibilities, and needs of the patients."
"EP01","0020","","S","POLICIES FOR EVAC. AND PRIMARY/ALT. COMM.","[(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section. The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).  At a minimum, the policies and procedures must address the following:]
[(3) or (1), (2), (6)] Safe evacuation from the [facility], which includes consideration of care and treatment needs of evacuees; staff responsibilities; transportation; identification of evacuation location(s); and primary and alternate means of communication with external sources of assistance.  

*[For RNHCs at §403.748(b)(3) and ASCs at §416.54(b)(2):]
Safe evacuation from the [RNHCI or ASC] which includes the following: 
(i) Consideration of care needs of evacuees. 
(ii) Staff responsibilities. 
(iii) Transportation. 
(iv) Identification of evacuation location(s). 
(v) Primary and alternate means of communication with external sources of assistance. 

* [For CORFs at §485.68(b)(1), Clinics, Rehabilitation Agencies, OPT/Speech at §485.727(b)(1), and ESRD Facilities at §494.62(b)(2):] 
Safe evacuation from the [CORF; Clinics, Rehabilitation Agencies, and Public Health Agencies as Providers of Outpatient Physical Therapy and Speech-Language Pathology Services; and ESRD Facilities], which includes staff responsibilities, and needs of the patients.

* [For RHCs/FQHCs at §491.12(b)(1):] Safe evacuation from the RHC/FQHC, which includes appropriate placement of exit signs; staff responsibilities and needs of the patients."
"EP01","0022","","S","POLICIES/PROCEDURES FOR SHELTERING IN PLACE","(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).] At a minimum, the policies and procedures must address the following:]

[(4) or (2),(3),(5),(6)] A means to shelter in place for patients, staff, and volunteers who remain in the [facility]. 

*[For Inpatient Hospices at §418.113(b):] Policies and procedures. 
(6) The following are additional requirements for hospice-operated inpatient care facilities only.  The policies and procedures must address the following:
(i) A means to shelter in place for patients, hospice employees who remain in the hospice."
"EP01","0023","","S","POLICIES/PROCEDURES FOR MEDICAL DOCUMENTATION","[(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).]  At a minimum, the policies and procedures must address the following:]

[(5) or (3),(4),(6)] A system of medical documentation that preserves patient information, protects confidentiality of patient information, and secures and maintains availability of records. 

*[For RNHCIs at §403.748(b):] Policies and procedures. (5) A system of care documentation that does the following:
(i) Preserves patient information.
(ii) Protects confidentiality of patient information.
(iii) Secures and maintains the availability of records.

*[For OPOs at §486.360(b):] Policies and procedures.  (2) A system of medical documentation that preserves potential and actual donor information, protects confidentiality of potential and actual donor information, and secures and maintains the availability of records."
"EP01","0024","","S","POLICIES/PROCEDURES-VOLUNTEERS AND STAFFING","[(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).] At a minimum, the policies and procedures must address the following:]
(6) [or (4), (5), or (7) as noted above] The use of volunteers  in an emergency or other emergency staffing strategies, including the process and role for integration of State and Federally designated health care professionals to address surge needs during an emergency.

*[For RNHCIs at §403.748(b):] Policies and procedures. (6) The use of volunteers in an emergency and other emergency staffing strategies to address surge needs during an emergency.

*[For Hospice at §418.113(b):] Policies and procedures.  (4) The use of hospice employees in an emergency and other emergency staffing strategies, including the process and role for integration of State and Federally designated health care  professionals to address surge needs during an emergency."
"EP01","0025","","S","ARRANGEMENT WITH OTHER FACILITIES","[(b) Policies and procedures.  The [facilities] must develop and implement emergency preparedness policies and procedures, based on the emergency plan set forth in paragraph (a) of this section, risk assessment at paragraph (a)(1) of this section, and the communication plan at paragraph (c) of this section.  The policies and procedures must be reviewed and updated at least every 2 years (annually for LTC).] At a minimum, the policies and procedures must address the following:]

*[For Hospices at §418.113(b), PRFTs at §441.184,(b) Hospitals at §482.15(b), and LTC Facilities at §483.73(b):] Policies and procedures. (7) [or (5)] The development of arrangements with other [facilities] [and] other providers to receive patients in the event of limitations or cessation of operations to maintain the continuity of services to facility patients.

*[For PACE at §460.84(b), ICF/IIDs at §483.475(b), CAHs at §486.625(b), CMHCs at §485.920(b) and ESRD Facilities at §494.62(b):] Policies and procedures. (7) [or (6), (8)] The development of arrangements with other [facilities] [or] other providers to receive patients in the event of limitations or cessation of operations to maintain the continuity of services to facility patients.

*[For RNHCIs at §403.748(b):] Policies and procedures. (7) The development of arrangements with other RNHCIs and other providers to receive patients in the event of limitations or cessation of operations to maintain the continuity of non-medical services to RNHCI patients."
