"FACILITY_ID","SURVEY_ID","INITIAL_SURVEY_DATE","SURVEY_TYPE","TOTAL_VISITS_REQUIRED"
"33","H1IY","02/07/2020","COMPLAINT","2"
"33","M887","04/14/2017","COMPLAINT","3"
"33","SLWG","07/29/2019","COMPLAINT","2"
"33","TP94","04/25/2020","COMPLAINT","1"
"33","WOFO","05/17/2017","COMPLAINT","2"
"33","YJK0","04/21/2017","COMPLAINT","2"
"38","FMNR","12/12/2019","CERTIFICATION/COMPLAINT","2"
"38","IL8Q","05/27/2020","COMPLAINT","2"
"38","KGN8","06/09/2017","CERTIFICATION/COMPLAINT","2"
"38","RMW5","05/04/2019","COMPLAINT","2"
"38","RVGY","11/16/2018","CERTIFICATION/COMPLAINT","2"
"41","DWVL","12/30/2016","COMPLAINT","2"
"41","K96H","04/16/2018","COMPLAINT","2"
"41","M0IT","06/10/2020","COMPLAINT","1"
"41","P7JM","12/16/2016","CERTIFICATION/COMPLAINT","2"
"41","WVZH","03/23/2018","CERTIFICATION/COMPLAINT","2"
"41","Y5ZQ","06/21/2019","CERTIFICATION/COMPLAINT","2"
"42","41U8","06/10/2020","COMPLAINT","1"
"42","6MTO","10/03/2018","CERTIFICATION","2"
"42","PLU7","04/20/2017","CERTIFICATION","1"
"42","YUQB","11/21/2019","CERTIFICATION","1"
"48","0ON0","08/23/2018","CERTIFICATION/COMPLAINT","2"
"48","59WD","01/14/2020","CERTIFICATION","2"
"48","RITL","03/24/2017","CERTIFICATION/COMPLAINT","2"
"48","WUUR","05/26/2020","COMPLAINT","1"
"49","H1OV","11/15/2017","CERTIFICATION/COMPLAINT","2"
"49","ONHQ","05/21/2020","COMPLAINT","1"
"49","TC4Q","05/01/2019","CERTIFICATION/COMPLAINT","2"
"50","0KBQ","08/12/2020","COMPLAINT","1"
"50","2YOJ","12/31/2019","COMPLAINT","2"
"50","42RQ","09/28/2020","COMPLAINT","1"
"50","5G8E","05/19/2020","COMPLAINT","1"
"50","69L1","06/09/2017","CERTIFICATION/COMPLAINT","2"
"50","BL4J","08/31/2018","COMPLAINT","2"
"50","L8DT","09/30/2020","CERTIFICATION/COMPLAINT","1"
"50","OV6U","10/25/2018","CERTIFICATION/COMPLAINT","2"
"50","ZC9P","08/11/2020","COMPLAINT","1"
"56","1PP3","03/19/2018","COMPLAINT","2"
"56","4VTF","01/25/2019","COMPLAINT","2"
"56","6KVP","07/20/2017","CERTIFICATION/COMPLAINT","2"
"56","93U9","05/13/2020","COMPLAINT","1"
"56","E7NR","08/04/2020","COMPLAINT","1"
"56","LG1W","08/28/2017","COMPLAINT","2"
"56","LYBH","11/29/2018","CERTIFICATION/COMPLAINT","2"
"56","RHW7","02/13/2020","CERTIFICATION/COMPLAINT","2"
"56","SS0K","12/13/2017","COMPLAINT","2"
"56","YYXS","08/28/2018","COMPLAINT","2"
"59","C11V","05/27/2020","COMPLAINT","1"
"59","NOWG","09/29/2020","COMPLAINT","1"
"59","QK24","08/22/2019","CERTIFICATION","2"
"59","U7CG","10/28/2019","COMPLAINT","2"
"59","W1JU","04/05/2018","CERTIFICATION/COMPLAINT","2"
"59","XZQL","12/01/2016","CERTIFICATION/COMPLAINT","2"
"60","26CS","02/16/2017","CERTIFICATION/COMPLAINT","2"
"60","H2LB","11/07/2019","CERTIFICATION/COMPLAINT","2"
"60","IKKH","07/11/2018","CERTIFICATION/COMPLAINT","2"
"60","O41X","06/30/2020","COMPLAINT","1"
"60","TNOB","07/01/2019","COMPLAINT","2"
"60","V2RN","06/25/2018","COMPLAINT","2"
"60","XRBR","04/23/2020","COMPLAINT","1"
"64","290B","08/12/2020","COMPLAINT","1"
"64","DIZN","04/07/2017","COMPLAINT","2"
"64","MUM4","07/28/2020","COMPLAINT","2"
"64","Q67G","11/16/2016","COMPLAINT","2"
"64","R7NS","09/28/2017","CERTIFICATION/COMPLAINT","2"
"64","UW9L","04/04/2019","CERTIFICATION","2"
"64","YM8W","07/15/2020","COMPLAINT","1"
"64","YS54","06/02/2020","COMPLAINT","2"
"64","ZT94","07/23/2020","COMPLAINT","1"
"71","01TN","07/14/2017","CERTIFICATION/COMPLAINT","2"
"71","D2P6","11/30/2018","CERTIFICATION/COMPLAINT","2"
"71","F30J","12/07/2018","COMPLAINT","2"
"71","K5P1","06/25/2020","COMPLAINT","2"
"71","L70T","07/16/2019","COMPLAINT","2"
"71","M2RB","02/23/2018","COMPLAINT","2"
"71","NFGI","05/24/2018","COMPLAINT","2"
"71","W5M2","03/06/2020","CERTIFICATION/COMPLAINT","2"
"71","ZHZ4","11/21/2019","COMPLAINT","2"
"73","LYI4","05/19/2020","COMPLAINT","1"
"73","NJ9W","08/31/2018","CERTIFICATION","2"
"73","OCRX","10/10/2019","CERTIFICATION/COMPLAINT","2"
"73","QRN4","04/28/2017","CERTIFICATION/COMPLAINT","2"
"81","87QT","06/23/2020","COMPLAINT","1"
"81","DCUO","08/02/2019","CERTIFICATION/COMPLAINT","2"
"81","NHPO","05/25/2018","CERTIFICATION/COMPLAINT","2"
"81","RPBW","11/21/2019","COMPLAINT","2"
"81","Y50I","02/17/2017","CERTIFICATION/COMPLAINT","2"
"83","2JL7","06/25/2020","COMPLAINT","1"
"83","3CXO","12/11/2018","CERTIFICATION/COMPLAINT","2"
"83","K8PT","01/15/2020","CERTIFICATION","2"
"83","L71P","07/18/2017","CERTIFICATION/COMPLAINT","2"
"91","3KE6","05/18/2020","COMPLAINT","1"
"91","9D4V","05/21/2019","COMPLAINT","2"
"91","G7Z3","05/03/2019","COMPLAINT","2"
"91","KM5K","01/09/2017","COMPLAINT","2"
"91","LZL2","06/05/2019","COMPLAINT","2"
"91","N3K3","11/04/2016","COMPLAINT","2"
"91","OCDF","01/31/2020","CERTIFICATION/COMPLAINT","2"
"91","OK2H","12/07/2018","CERTIFICATION/COMPLAINT","2"
"91","PVSF","08/10/2017","CERTIFICATION/COMPLAINT","2"
"92","0RXQ","08/26/2020","COMPLAINT","1"
"92","3GET","05/22/2020","COMPLAINT","1"
"92","77IB","03/03/2020","CERTIFICATION/COMPLAINT","2"
"92","C579","01/17/2017","COMPLAINT","2"
"92","D9EV","09/08/2017","CERTIFICATION/COMPLAINT","2"
"92","KYJL","05/09/2018","COMPLAINT","2"
"92","TZBD","02/28/2019","CERTIFICATION/COMPLAINT","2"
"92","ZF33","03/22/2019","COMPLAINT","2"
"96","3JNF","03/31/2017","CERTIFICATION/COMPLAINT","2"
"96","45C3","10/06/2017","COMPLAINT","2"
"96","C318","09/19/2019","CERTIFICATION/COMPLAINT","2"
"96","CN7A","05/12/2020","COMPLAINT","1"
"96","DZ43","08/28/2018","CERTIFICATION/COMPLAINT","2"
"96","U6KH","05/15/2019","COMPLAINT","2"
"99","1EKE","09/15/2017","CERTIFICATION/COMPLAINT","2"
"99","KV1E","01/18/2019","CERTIFICATION/COMPLAINT","3"
"99","OLXJ","06/18/2020","COMPLAINT","1"
"99","TJK7","09/18/2017","COMPLAINT","2"
"106","7KGE","04/26/2019","CERTIFICATION","2"
"106","9T7O","06/17/2020","COMPLAINT","1"
"106","M262","10/26/2017","CERTIFICATION/COMPLAINT","2"
"107","96UU","09/29/2017","CERTIFICATION","2"
"107","QJQS","06/03/2020","COMPLAINT","2"
"107","WQQ8","03/18/2019","CERTIFICATION/COMPLAINT","2"
"112","5R76","06/04/2020","COMPLAINT","1"
"112","832N","09/23/2019","CERTIFICATION/COMPLAINT","2"
"112","CTDQ","03/10/2017","CERTIFICATION/COMPLAINT","1"
"112","Y41I","06/15/2018","CERTIFICATION/COMPLAINT","2"
"119","BDGV","01/24/2020","CERTIFICATION","2"
"119","IJDR","06/12/2020","COMPLAINT","1"
"119","KY03","06/14/2019","COMPLAINT","2"
"119","M7YE","06/02/2017","CERTIFICATION/COMPLAINT","2"
"119","MR0W","09/26/2018","CERTIFICATION/COMPLAINT","2"
"123","4NSF","01/24/2018","COMPLAINT","2"
"123","8ICO","06/12/2020","COMPLAINT","1"
"123","AMVC","06/23/2017","CERTIFICATION/COMPLAINT","2"
"123","OBNZ","11/05/2018","CERTIFICATION","2"
"124","1C8B","07/28/2017","CERTIFICATION","2"
"124","7ZUR","12/03/2018","CERTIFICATION/COMPLAINT","2"
"124","CDF2","05/26/2020","COMPLAINT","1"
"126","FPUJ","09/02/2020","COMPLAINT","1"
"126","JN3Q","05/26/2020","COMPLAINT","1"
"126","OO2U","02/28/2019","CERTIFICATION","2"
"126","ZFQ1","11/07/2017","CERTIFICATION/COMPLAINT","2"
"129","2RT9","12/14/2016","CERTIFICATION","2"
"129","ISKM","04/18/2018","CERTIFICATION","2"
"129","PLIV","08/13/2019","CERTIFICATION","2"
"129","V7CD","05/28/2020","COMPLAINT","1"
"131","2QJX","12/08/2016","CERTIFICATION/COMPLAINT","2"
"131","9GM0","06/01/2020","COMPLAINT","1"
"131","J68B","06/03/2019","COMPLAINT","2"
"131","NE7F","09/12/2019","CERTIFICATION/COMPLAINT","2"
"131","P05N","04/13/2018","CERTIFICATION/COMPLAINT","2"
"133","5AWI","12/19/2018","CERTIFICATION","2"
"133","JLPU","12/19/2016","COMPLAINT","2"
"133","SB36","08/30/2019","COMPLAINT","2"
"133","UK10","11/22/2019","COMPLAINT","2"
"133","XI3M","05/06/2020","COMPLAINT","1"
"133","ZTOS","06/15/2017","CERTIFICATION/COMPLAINT","2"
"136","2XHI","09/27/2018","CERTIFICATION/COMPLAINT","2"
"136","EYVQ","12/19/2019","CERTIFICATION","2"
"136","OET1","12/24/2019","COMPLAINT","2"
"136","POCZ","08/18/2020","COMPLAINT","2"
"136","UTUF","12/29/2016","CERTIFICATION","2"
"136","ZYUX","06/11/2020","COMPLAINT","1"
"139","HM4D","08/20/2020","COMPLAINT","2"
"139","M5ZL","06/10/2020","COMPLAINT","1"
"139","QGUP","10/26/2017","CERTIFICATION/COMPLAINT","2"
"139","R66B","06/06/2019","CERTIFICATION/COMPLAINT","2"
"140","A1EB","06/29/2017","CERTIFICATION","2"
"140","CDI7","07/10/2020","CERTIFICATION/COMPLAINT","2"
"140","MGM7","06/10/2020","COMPLAINT","1"
"140","OGYV","02/28/2019","CERTIFICATION/COMPLAINT","2"
"140","TL7D","08/05/2020","COMPLAINT","1"
"144","CLWA","02/28/2019","CERTIFICATION","2"
"144","OW65","06/10/2020","COMPLAINT","1"
"144","QZDI","02/10/2020","COMPLAINT","2"
"144","T8J8","07/23/2020","COMPLAINT","1"
"144","Y8J6","11/28/2018","COMPLAINT","2"
"144","YXSI","05/11/2017","CERTIFICATION","2"
"150","41TE","01/02/2018","CERTIFICATION","2"
"150","5I43","11/22/2019","CERTIFICATION/COMPLAINT","1"
"150","6GZV","06/11/2020","COMPLAINT","1"
"150","K12Y","08/20/2020","COMPLAINT","1"
"152","0TBH","08/15/2017","COMPLAINT","2"
"152","6TSH","07/25/2018","CERTIFICATION/COMPLAINT","2"
"152","8LCK","06/10/2019","COMPLAINT","2"
"152","EPLT","07/03/2020","COMPLAINT","1"
"152","QVV7","04/24/2020","COMPLAINT","1"
"152","V5DI","10/22/2019","CERTIFICATION/COMPLAINT","2"
"152","V9RS","12/12/2016","CERTIFICATION","2"
"154","1RA3","12/19/2016","COMPLAINT","2"
"154","2FRX","06/21/2019","COMPLAINT","2"
"154","7H8Q","10/29/2018","COMPLAINT","2"
"154","B9DQ","10/24/2018","CERTIFICATION/COMPLAINT","2"
"154","BK0X","10/10/2017","COMPLAINT","2"
"154","EOBJ","05/24/2018","COMPLAINT","2"
"154","HUPM","03/23/2017","CERTIFICATION/COMPLAINT","2"
"154","IJPW","05/21/2020","COMPLAINT","2"
"154","KHVS","08/26/2019","COMPLAINT","2"
"154","MC4G","08/14/2020","COMPLAINT","1"
"154","PVUB","10/01/2019","COMPLAINT","2"
"154","V9M8","05/13/2020","COMPLAINT","2"
"154","VCEY","08/03/2020","COMPLAINT","2"
"154","WQ7O","10/01/2020","COMPLAINT","1"
"154","YFD3","01/24/2020","CERTIFICATION/COMPLAINT","2"
"156","003F","11/25/2019","COMPLAINT","2"
"156","CZ15","02/09/2017","COMPLAINT","2"
"156","NFUV","09/28/2020","COMPLAINT","1"
"156","NUF5","04/05/2019","CERTIFICATION/COMPLAINT","2"
"156","OH1F","08/28/2020","COMPLAINT","2"
"156","VX5Z","07/20/2017","CERTIFICATION/COMPLAINT","2"
"156","Z3TE","06/04/2020","COMPLAINT","1"
"160","1JV5","02/07/2019","CERTIFICATION/COMPLAINT","2"
"160","IIK1","10/18/2019","COMPLAINT","2"
"160","JFA1","05/22/2020","COMPLAINT","1"
"160","YDCO","08/23/2017","CERTIFICATION/COMPLAINT","2"
"161","0YCH","08/03/2020","COMPLAINT","1"
"161","2XZD","12/17/2019","CERTIFICATION/COMPLAINT","2"
"161","C322","01/18/2018","COMPLAINT","2"
"161","OGVP","05/15/2020","COMPLAINT","1"
"161","SQNP","10/24/2018","CERTIFICATION/COMPLAINT","2"
"161","SQV8","05/10/2017","CERTIFICATION/COMPLAINT","2"
"169","8GP1","03/03/2017","CERTIFICATION","2"
"169","HEQW","06/26/2020","COMPLAINT","1"
"169","ZOM9","01/14/2019","CERTIFICATION/COMPLAINT","2"
"171","5Z3O","09/19/2019","CERTIFICATION","2"
"171","6O8F","02/08/2018","COMPLAINT","1"
"171","HXGN","03/29/2018","CERTIFICATION","2"
"171","X7MV","06/25/2020","COMPLAINT","2"
"186","1QPM","03/20/2017","CERTIFICATION","2"
"186","8YVU","12/05/2018","CERTIFICATION/COMPLAINT","2"
"186","QDYT","06/29/2020","COMPLAINT","1"
"186","Y4KY","09/10/2020","COMPLAINT","1"
"189","O32E","10/15/2019","CERTIFICATION","2"
"189","VDBE","07/01/2020","COMPLAINT","1"
"189","XXRI","03/29/2019","COMPLAINT","2"
"189","ZYT9","01/16/2018","CERTIFICATION/COMPLAINT","3"
"191","GXBX","11/09/2018","COMPLAINT","2"
"191","JUSR","06/26/2020","COMPLAINT","1"
"191","RK1N","03/29/2018","CERTIFICATION/COMPLAINT","2"
"191","TWUF","01/17/2020","CERTIFICATION/COMPLAINT","2"
"191","URQR","09/02/2020","COMPLAINT","2"
"191","ZY66","12/01/2016","CERTIFICATION","2"
"193","60CJ","10/06/2017","CERTIFICATION","2"
"193","D7JM","07/02/2019","CERTIFICATION","2"
"193","OCV6","07/17/2020","COMPLAINT","1"
"193","RFGN","06/17/2020","COMPLAINT","1"
"194","FQDM","08/12/2019","CERTIFICATION","2"
"194","MM0D","07/06/2020","COMPLAINT","2"
"194","ZYR3","09/12/2017","CERTIFICATION","2"
"195","6J4E","06/17/2020","COMPLAINT","1"
"195","E3BM","06/12/2017","CERTIFICATION","2"
"195","T1P4","04/05/2019","CERTIFICATION","2"
"195","TE8F","08/12/2020","COMPLAINT","1"
"201","3XOG","02/16/2017","CERTIFICATION","2"
"201","7W6X","03/12/2020","COMPLAINT","1"
"201","FCJR","09/02/2020","COMPLAINT","1"
"201","GK3X","06/01/2018","CERTIFICATION/COMPLAINT","3"
"201","O1O5","02/28/2020","CERTIFICATION/COMPLAINT","2"
"201","SGCZ","07/02/2020","COMPLAINT","1"
"202","29K7","06/25/2020","COMPLAINT","1"
"202","4ZOI","12/22/2016","CERTIFICATION","2"
"202","7D44","12/21/2016","COMPLAINT","1"
"202","F7TH","08/02/2019","COMPLAINT","1"
"202","HSS0","09/16/2019","CERTIFICATION","2"
"202","J3O0","03/06/2017","COMPLAINT","2"
"202","PJKV","06/29/2017","CERTIFICATION","2"
"202","PW4O","09/01/2020","COMPLAINT","1"
"202","T9P5","11/06/2018","COMPLAINT","1"
"202","XLTQ","12/29/2017","CERTIFICATION/COMPLAINT","3"
"203","43FC","06/20/2017","CERTIFICATION","2"
"203","IZ6Q","09/26/2018","COMPLAINT","1"
"203","PL6Z","07/02/2020","COMPLAINT","1"
"203","R093","11/03/2016","COMPLAINT","2"
"203","XTW2","03/29/2019","CERTIFICATION","2"
"214","EC1L","12/21/2018","CERTIFICATION","2"
"214","LG0L","11/13/2019","CERTIFICATION/COMPLAINT","2"
"214","RX0T","12/05/2017","CERTIFICATION","2"
"214","Y49T","07/31/2020","COMPLAINT","1"
"214","ZYTB","06/26/2020","COMPLAINT","1"
"232","0R3W","04/04/2018","CERTIFICATION/COMPLAINT","2"
"232","2EYP","07/02/2019","CERTIFICATION/COMPLAINT","2"
"232","2RZ7","03/05/2019","COMPLAINT","2"
"232","8D6C","02/27/2017","CERTIFICATION/COMPLAINT","2"
"232","JGZP","05/28/2020","COMPLAINT","1"
"232","MMM4","08/26/2020","COMPLAINT","1"
"232","YFIO","08/07/2020","COMPLAINT","1"
"244","1Q83","09/07/2017","COMPLAINT","2"
"244","1ZZ7","02/02/2017","COMPLAINT","2"
"244","3YXH","06/30/2020","COMPLAINT","1"
"244","4NTR","04/20/2017","COMPLAINT","2"
"244","7MTE","04/26/2020","COMPLAINT","3"
"244","9IT8","01/27/2017","COMPLAINT","1"
"244","D4ZU","10/04/2019","COMPLAINT","2"
"244","IED5","09/26/2019","CERTIFICATION/COMPLAINT","2"
"244","OOUQ","10/29/2018","CERTIFICATION/COMPLAINT","2"
"244","RWDL","06/21/2017","CERTIFICATION/COMPLAINT","2"
"244","S45D","06/04/2019","COMPLAINT","2"
"244","X8LR","09/17/2020","COMPLAINT","2"
"244","YSEY","08/20/2018","COMPLAINT","2"
"252","3LWM","05/05/2020","COMPLAINT","1"
"252","QQ07","01/10/2018","CERTIFICATION/COMPLAINT","2"
"252","R2XT","05/13/2019","CERTIFICATION/COMPLAINT","2"
"254","4M82","08/30/2019","COMPLAINT","2"
"254","5IS3","03/07/2019","CERTIFICATION/COMPLAINT","2"
"254","6XZC","08/15/2019","COMPLAINT","2"
"254","85U7","02/21/2020","COMPLAINT","2"
"254","9NE1","11/15/2019","COMPLAINT","2"
"254","CYTJ","05/11/2017","COMPLAINT","2"
"254","D4U0","09/20/2017","COMPLAINT","2"
"254","DPJD","07/03/2020","COMPLAINT","1"
"254","I0W6","09/01/2020","COMPLAINT","1"
"254","IQY8","10/01/2020","COMPLAINT","1"
"254","LRI5","05/16/2020","COMPLAINT","1"
"254","NHSV","11/16/2017","CERTIFICATION/COMPLAINT","3"
"254","R9CN","02/20/2020","COMPLAINT","2"
"254","SY91","01/31/2018","COMPLAINT","2"
"254","Y2QL","01/30/2017","COMPLAINT","2"
"254","YVEV","07/30/2020","COMPLAINT","1"
"254","ZX1B","02/24/2020","CERTIFICATION/COMPLAINT","2"
"266","509U","07/06/2017","COMPLAINT","2"
"266","65I1","06/18/2020","COMPLAINT","2"
"266","KMHL","02/18/2020","CERTIFICATION/COMPLAINT","2"
"266","M8OE","02/27/2019","COMPLAINT","2"
"266","N4C0","07/28/2020","COMPLAINT","1"
"266","NMVQ","12/14/2016","CERTIFICATION/COMPLAINT","2"
"266","VK7G","09/26/2017","COMPLAINT","2"
"266","Y6EF","06/11/2019","CERTIFICATION/COMPLAINT","2"
"266","ZKS0","03/16/2018","CERTIFICATION/COMPLAINT","2"
"268","9X9V","05/20/2019","CERTIFICATION","2"
"268","KQ25","05/21/2020","COMPLAINT","1"
"268","WIUP","01/09/2018","CERTIFICATION/COMPLAINT","2"
"269","1O5C","08/13/2020","COMPLAINT","1"
"269","9SHS","06/18/2020","COMPLAINT","1"
"269","RCNH","12/14/2017","CERTIFICATION/COMPLAINT","2"
"269","ZXF2","04/16/2019","CERTIFICATION/COMPLAINT","2"
"272","7KSG","12/20/2019","CERTIFICATION/COMPLAINT","2"
"272","FC5P","05/27/2020","COMPLAINT","1"
"272","IR02","01/08/2019","CERTIFICATION","2"
"272","STSP","08/29/2017","CERTIFICATION/COMPLAINT","1"
"274","1F3I","11/09/2018","COMPLAINT","2"
"274","6YMN","11/12/2019","COMPLAINT","2"
"274","D86P","01/17/2018","COMPLAINT","2"
"274","DUID","09/24/2020","COMPLAINT","1"
"274","ELWU","04/16/2018","COMPLAINT","2"
"274","FVJQ","12/07/2017","COMPLAINT","2"
"274","J0IR","08/28/2020","COMPLAINT","1"
"274","KSMQ","06/26/2020","COMPLAINT","2"
"274","LP15","07/22/2019","COMPLAINT","2"
"274","OT7M","02/14/2017","COMPLAINT","2"
"274","VIB3","06/08/2017","CERTIFICATION/COMPLAINT","4"
"274","WJAT","10/16/2018","CERTIFICATION/COMPLAINT","2"
"274","WR9E","11/04/2019","CERTIFICATION/COMPLAINT","3"
"274","ZXS2","05/20/2020","COMPLAINT","2"
"277","00UF","06/19/2020","COMPLAINT","1"
"277","L1KX","09/13/2019","CERTIFICATION","2"
"277","S2J8","02/15/2018","CERTIFICATION/COMPLAINT","2"
"278","1QMZ","05/19/2017","CERTIFICATION/COMPLAINT","2"
"278","8EV7","09/11/2018","CERTIFICATION/COMPLAINT","2"
"278","8KP3","04/15/2019","COMPLAINT","2"
"278","CA6F","09/09/2020","COMPLAINT","1"
"278","EHUJ","07/16/2020","COMPLAINT","2"
"278","MRE1","06/09/2020","COMPLAINT","2"
"278","U8S8","05/03/2019","COMPLAINT","2"
"278","W906","10/24/2019","CERTIFICATION/COMPLAINT","3"
"281","8OIE","06/19/2020","COMPLAINT","1"
"281","M9U6","04/21/2017","CERTIFICATION/COMPLAINT","2"
"281","PXKA","04/12/2019","COMPLAINT","2"
"281","QGSP","09/13/2019","CERTIFICATION/COMPLAINT","2"
"281","TQ3B","08/28/2018","CERTIFICATION/COMPLAINT","2"
"282","43W4","09/21/2018","CERTIFICATION/COMPLAINT","2"
"282","SY21","10/07/2019","CERTIFICATION/COMPLAINT","2"
"282","VGB1","07/20/2020","COMPLAINT","1"
"282","WV22","05/09/2017","CERTIFICATION/COMPLAINT","3"
"288","52UP","02/06/2020","COMPLAINT","2"
"288","5UZ6","07/11/2017","COMPLAINT","2"
"288","8RVR","08/24/2020","COMPLAINT","1"
"288","FVSE","05/09/2019","CERTIFICATION/COMPLAINT","2"
"288","PSLI","11/15/2017","CERTIFICATION/COMPLAINT","2"
"288","WU2O","05/26/2020","COMPLAINT","2"
"294","2B6P","05/06/2020","COMPLAINT","1"
"294","CZ39","11/15/2016","CERTIFICATION/COMPLAINT","2"
"294","E0Y7","02/21/2018","CERTIFICATION/COMPLAINT","2"
"294","JNS4","05/21/2019","CERTIFICATION/COMPLAINT","2"
"294","N02O","07/16/2020","COMPLAINT","1"
"294","N0OP","09/30/2020","COMPLAINT","1"
"294","S2OW","08/25/2020","COMPLAINT","1"
"296","1696","07/15/2019","CERTIFICATION","2"
"296","IUNN","06/05/2018","CERTIFICATION/COMPLAINT","2"
"296","KFL5","05/26/2020","COMPLAINT","1"
"296","R2CG","02/07/2017","CERTIFICATION/COMPLAINT","2"
"296","XYCY","08/18/2020","COMPLAINT","2"
"299","7DAM","07/26/2017","CERTIFICATION/COMPLAINT","2"
"299","DSI8","08/14/2019","CERTIFICATION/COMPLAINT","2"
"299","M1K8","11/02/2018","CERTIFICATION","2"
"299","UD40","06/08/2020","COMPLAINT","1"
"300","12XQ","10/10/2017","COMPLAINT","2"
"300","B4KP","05/12/2020","COMPLAINT","1"
"300","O7XJ","09/27/2017","CERTIFICATION/COMPLAINT","2"
"300","OUQX","02/02/2019","CERTIFICATION/COMPLAINT","2"
"300","QG0L","03/12/2020","CERTIFICATION/COMPLAINT","2"
"300","XV2A","09/14/2020","COMPLAINT","2"
"305","0PBU","01/25/2019","COMPLAINT","2"
"305","41RD","06/14/2018","COMPLAINT","3"
"305","5KMS","09/09/2020","COMPLAINT","1"
"305","8IGH","11/05/2018","CERTIFICATION/COMPLAINT","2"
"305","GSHV","03/06/2020","CERTIFICATION","2"
"305","H2HG","08/12/2020","COMPLAINT","2"
"305","J99U","08/06/2020","COMPLAINT","1"
"305","JFNS","08/26/2020","COMPLAINT","2"
"305","M6RT","12/01/2016","CERTIFICATION/COMPLAINT","2"
"305","VXW5","06/18/2020","COMPLAINT","1"
"305","ZXS1","11/22/2019","COMPLAINT","1"
"310","5QLL","07/10/2020","COMPLAINT","1"
"310","757R","04/26/2019","CERTIFICATION","2"
"310","8WPF","07/24/2017","COMPLAINT","2"
"310","MJ56","07/28/2017","CERTIFICATION","2"
"310","YQ7W","06/18/2020","COMPLAINT","1"
"315","3N8Y","02/14/2020","COMPLAINT","2"
"315","DAQK","08/02/2019","CERTIFICATION","2"
"315","ERHW","01/31/2017","COMPLAINT","2"
"315","HGLW","06/15/2017","COMPLAINT","2"
"315","JXCW","07/09/2020","COMPLAINT","1"
"315","PXLG","11/03/2017","CERTIFICATION/COMPLAINT","2"
"315","YXTH","06/17/2020","COMPLAINT","1"
