"FACILITY_ID","SURVEY_DATE","DEFICIENCY CATEGORY","STIP_NUMBER","STIP_DATE","FINE_ASSESSED","FACILITY_NAME","County","STIP_PDF_NAME"
"1031",".","Multiple Deficiencies","NH_02_050","07/17/2002","$4,000.00","Newark Manor Nursing Home Inc","Wayne","pfi1031nh_02_050.pdf"
"326","09/27/2001","Quality of Care","NH_02_051","07/25/2002","$5,000.00","Alice Hyde Medical Center","Franklin","pfi326nh_02_051.pdf"
"474","11/16/2001","Quality of Care","NH_02_052","07/25/2002","$2,000.00","Park Ridge Nursing Home","Monroe","pfi474nh_02_052.pdf"
"767","08/13/2001","Resident Rights","NH_02_053","07/25/2002","$1,000.00","Riverside Center For Rehabilitation And Nursing","Rensselaer","pfi767nh_02_053.pdf"
"702","07/16/2001","Multiple Deficiencies","NH_02_054","07/25/2002","$6,000.00","The Valley View Center For Nursing Care And Rehab","Orange","pfi702nh_02_054.pdf"
"92","06/21/2001","Quality of Care","NH_02_055","07/30/2002","$4,000.00","The Commons On St Anthony, A S N F & Short T R C","Cayuga","pfi92nh_02_055.pdf"
"816","10/23/2001","Quality of Care","NH_02_057","08/05/2002","$2,000.00","Potsdam Nursing Home","Saint Lawrence","pfi816nh_02_057.pdf"
"4772","01/29/2001","Quality of Care","NH_02_056","08/07/2002","$2,000.00","Rosa Coplon Jewish Home And Infirmary","Erie","pfi4772nh_02_056.pdf"
"2550","06/28/2001","Quality of Care","NH_02_058","08/13/2002","$2,000.00","Groton Community Health Care Ctr Res Care Fac","Tompkins","pfi2550nh_02_058.pdf"
"476",".","Quality of Care","NH_02_059","08/14/2002","$7,000.00","St Anns Community","Monroe","pfi476nh_02_059.pdf"
"49",".","Quality of Care","NH_02_060","08/20/2002","$6,000.00","Good Shepherd-fairview Home Inc","Broome","pfi49nh_02_060.pdf"
"454","12/20/2001","Quality of Care","NH_02_061","08/26/2002","$2,000.00","Wesley On East  Ltd","Monroe","pfi454nh_02_061.pdf"
"810","02/04/1999","Quality of Care","NH_02_062","09/06/2002","$2,000.00","United Helpers Canton Nursing Home","Saint Lawrence","pfi810nh_02_062.pdf"
"1034",".","Quality of Care","NH_02_063","09/06/2002","$2,000.00","Wayne County Nursing Home","Wayne","pfi1034nh_02_063.pdf"
"681","02/01/2002","Quality of Care","NH_02_064","09/06/2002","$2,000.00","M M Ewing Continuing Care Center","Ontario","pfi681nh_02_064.pdf"
"749","09/27/2001","Quality of Care","NH_02_065","09/11/2002","$6,000.00","Cooperstown Center For Rehabilitation And Nursing","Otsego","pfi749nh_02_065.pdf"
"469","11/21/2000","Quality of Care","NH_02_066","09/11/2002","$2,000.00","Elderwood Of Lakeside At Brockport","Monroe","pfi469nh_02_066.pdf"
"721","03/15/2001","Quality of Care","NH_02_067","09/11/2002","$2,000.00","Orchard Rehabilitation & Nursing Center","Orleans","pfi721nh_02_067.pdf"
"607","06/14/2001","Quality of Care","NH_02_068","09/11/2002","$4,000.00","Utica Rehabilitation & Nursing Center","Oneida","pfi607nh_02_068.pdf"
"485","08/17/2001","Resident Rights","NH_02_069","09/11/2002","$2,000.00","River Ridge Living Center","Montgomery","pfi485nh_02_069.pdf"
"434","06/01/2001","Quality of Care","NH_02_070","09/11/2002","$2,000.00","The Brook At High Falls Nursing Home And Rehab Ctr","Monroe","pfi434nh_02_070.pdf"
"470","01/11/2002","Multiple Deficiencies","NH_02_071","09/13/2002","$4,000.00","Creekview Nursing And Rehab Center","Monroe","pfi470nh_02_071.pdf"
"655","07/31/2001","Quality of Care","NH_02_072","09/18/2002","$4,000.00","St Camillus Residential Health Care Facility","Onondaga","pfi655nh_02_072.pdf"
"281","11/23/2001","Multiple Deficiencies","NH_02_073","09/27/2002","$4,000.00","Jennie B Richmond Chaffee Nursing Home Company Inc","Erie","pfi281nh_02_073.pdf"
"7734","08/30/2001","Quality of Care","NH_02_074","09/27/2002","$1,000.00","Seneca Hill Manor Inc","Oswego","pfi7734nh_02_074.pdf"
"647","08/09/2001","Quality of Care","NH_02_075","09/27/2002","$2,000.00","Jewish Home Of Central New York","Onondaga","pfi647nh_02_075.pdf"
"1159","02/09/2001","Quality of Care","NH_02_076","09/27/2002","$2,000.00","Soldiers And Sailors Memorial Hospital E C U","Yates","pfi1159nh_02_076.pdf"
"5538","05/11/2001","Quality of Care","NH_02_077","09/27/2002","$2,000.00","The Highlands At Brighton","Monroe","pfi5538nh_02_077.pdf"
"1403","08/28/2001","Quality of Care","NH_02_078","09/27/2002","$4,000.00","Boro Park Center For Rehabilitation And Healthcare","Kings","pfi1403nh_02_078.pdf"
"3164","10/19/2000","Quality of Care","NH_02_079","10/07/2002","$2,000.00","Kirkhaven","Monroe","pfi3164nh_02_079.pdf"
"1017","03/19/2001","Quality of Care","NH_02_080","10/07/2002","$2,000.00","Mary Mcclellan Skilled Nursing","Washington","pfi1017nh_02_080.pdf"
"3186","11/16/2001","Quality of Care","NH_02_081","10/07/2002","$6,000.00","Auburn Senior Services Inc","Cayuga","pfi3186nh_02_081.pdf"
"3243","01/11/2002","Multiple Deficiencies","NH_02_082","10/09/2002","$6,000.00","Elderwood At Liverpool","Onondaga","pfi3243nh_02_082.pdf"
"1031","04/19/2002","Quality of Care","NH_02_083","10/16/2002","$4,000.00","Newark Manor Nursing Home Inc","Wayne","pfi1031nh_02_083.pdf"
"609","09/21/2001","Quality of Care","NH_02_084","10/21/2002","$4,000.00","The Grand Rehabilitation And Nursing At Utica","Oneida","pfi609nh_02_084.pdf"
"615","12/21/2001","Quality of Care","NH_02_085","10/21/2002","$2,000.00","Martin Luther Home","Oneida","pfi615nh_02_085.pdf"
"479","05/10/2002","Quality of Care","NH_02_086","10/21/2002","$2,000.00","Hill Haven Nursing Home","Monroe","pfi479nh_02_086.pdf"
"802","04/19/2002","Quality of Care","NH_02_087","10/23/2002","$1,000.00","United Helpers Nursing Home","Saint Lawrence","pfi802nh_02_087.pdf"
"6166","02/23/2001","Multiple Deficiencies","NH_02_088","10/23/2002","$12,000.00","Incarnation Childrens Center Inc","New York","pfi6166nh_02_088.pdf"
"664","01/25/2002","Quality of Care","NH_02_089","10/23/2002","$4,000.00","Sunnyside Care Center","Onondaga","pfi664nh_02_089.pdf"
"27","02/20/2002","Quality of Care","NH_02_090","10/28/2002","$3,000.00","Bethlehem Commons Care Center","Albany","pfi27nh_02_090.pdf"
"1029","11/08/2001","Quality of Care","NH_02_091","10/28/2002","$2,000.00","Wayne Health Care","Wayne","pfi1029nh_02_091.pdf"
"1054",".","Quality of Care","NH_02_092","10/28/2002","$3,000.00","Nathan Miller Center For Nursing Care","Westchester","pfi1054nh_02_092.pdf"
"716","08/16/2001","Quality of Care","NH_02_093","10/28/2002","$4,000.00","The Villages Of Orleans Health And Rehab Center","Orleans","pfi716nh_02_093.pdf"
"23",".","Multiple Deficiencies","NH_02_094","10/31/2002","$12,000.00","Teresian House Nursing Home Co Inc","Albany","pfi23nh_02_094.pdf"
"315",".","Multiple Deficiencies","NH_02_095","11/01/2002","$3,000.00","Elderwood Of Uihlein At Lake Placid","Essex","pfi315nh_02_095.pdf"
"655","05/16/2002","Quality of Care","NH_02_096","11/01/2002","$4,000.00","St Camillus Residential Health Care Facility","Onondaga","pfi655nh_02_096.pdf"
"982","05/10/2002","Quality of Care","NH_02_097","11/01/2002","$2,000.00","Oak Hill Rehabilitation And Nursing Care Center","Tompkins","pfi982nh_02_097.pdf"
"129","02/01/2002","Quality of Care","NH_02_098","11/01/2002","$2,000.00","Chenango Memorial Hospital Inc S N F","Chenango","pfi129nh_02_098.pdf"
"1739","12/20/2001","Quality of Care","NH_02_099","11/01/2002","$2,000.00","Terrace View Long Term Care Facility","Erie","pfi1739nh_02_099.pdf"
"59","04/25/2002","Quality of Care","NH_02_100","11/06/2002","$4,000.00","Ideal Senior Living Center","Broome","pfi59nh_02_100.pdf"
"1150","08/09/2001","Quality of Care","NH_02_101","11/06/2002","$1,000.00","North Westchester Restorative Therapy & Nrsg Crt","Westchester","pfi1150nh_02_101.pdf"
"91","04/05/2002","Quality of Care","NH_02_102","11/06/2002","$2,000.00","Auburn Rehabilitation & Nursing Center","Cayuga","pfi91nh_02_102.pdf"
"7278",".","Multiple Deficiencies","NH_02_103","11/13/2002","$10,000.00","Bethel Nursing & Rehabilitation Center","Westchester","pfi7278nh_02_103.pdf"
"1154","04/12/2002","Quality of Care","NH_02_104","11/20/2002","$6,000.00","Wyoming County Community Hospital S N F","Wyoming","pfi1154nh_02_104.pdf"
"595","11/16/2001","Quality of Care","NH_02_105","11/22/2002","$2,000.00","Betsy Ross Rehabilitation Center, Inc","Oneida","pfi595nh_02_105.pdf"
"252","05/16/2002","Multiple Deficiencies","NH_02_106","11/25/2002","$4,000.00","St Catherine Laboure Health Care Center","Erie","pfi252nh_02_106.pdf"
"449","06/14/2001","Quality of Care","NH_02_107","12/06/2002","$4,000.00","Wesley Gardens Corporation","Monroe","pfi449nh_02_107.pdf"
"4156","07/26/2002","Quality of Care","NH_02_108","12/06/2002","$2,000.00","Ira Davenport Memorial Hospital S N F/ H R F","Steuben","pfi4156nh_02_108.pdf"
"3084","02/20/2002","Quality of Care","NH_02_109","12/10/2002","$2,000.00","Safire Rehabilitation Of Southtown, L L C","Erie","pfi3084nh_02_109.pdf"
"243","05/11/2001","Quality of Care","NH_02_110","12/12/2002","$2,000.00","Nazareth Nursing Home","Erie","pfi243nh_02_110.pdf"
"1029","04/05/2002","Quality of Care","NH_02_111","12/16/2002","$4,000.00","Wayne Health Care","Wayne","pfi1029nh_02_111.pdf"
"4808","08/15/2002","Quality of Care","NH_02_112","12/16/2002","$2,000.00","Edna Tina Wilson Living Center","Monroe","pfi4808nh_02_112.pdf"
"7279",".","Quality of Care","NH_02_113","12/20/2002","$3,000.00","Dr Susan Smith Mckinney Nursing And Rehab Center","Kings","pfi7279nh_02_113.pdf"
"606","03/15/2002","Quality of Care","NH_02_114","12/20/2002","$2,000.00","Masonic Care Community Of New York","Oneida","pfi606nh_02_114.pdf"
"691","08/29/2002","Quality of Care","NH_02_115","12/20/2002","$2,000.00","Highland Rehabilitation And Nursing Center","Orange","pfi691nh_02_115.pdf"
"1008","04/30/2002","Quality of Care","NH_03_002","01/03/2003","$4,000.00","Warren Center For Rehabilitation And Nursing","Warren","pfi1008nh_03_002.pdf"
"2533","09/11/2002","Quality of Care","NH_03_003","01/03/2003","$2,000.00","Middletown Park Rehab & Health Care Center","Orange","pfi2533nh_03_003.pdf"
"477",".","Multiple Deficiencies","NH_03_001","01/06/2003","$8,500.00","St Anns Community","Monroe","pfi477nh_03_001.pdf"
"476","06/17/2002","Quality of Care","NH_03_004","01/06/2003","$2,000.00","St Anns Community","Monroe","pfi476nh_03_004.pdf"
"731",".","Multiple Deficiencies","NH_03_005","01/08/2003","$4,100.00","Morningstar Residential Care Center","Oswego","pfi731nh_03_005.pdf"
"1053","06/27/2002","Quality of Care","NH_03_006","01/24/2003","$2,000.00","T L C Health Network Lake Shore Hosp Nursing Fac","Chautauqua","pfi1053nh_03_006.pdf"
"1093","04/11/2002","Quality of Care","NH_03_007","02/04/2003","$2,000.00","King Street Home Inc","Westchester","pfi1093nh_03_007.pdf"
"1068","02/08/2002","Quality of Care","NH_03_008","02/04/2003","$2,000.00","The Wartburg Home","Westchester","pfi1068nh_03_008.pdf"
"996","01/14/2002","Quality of Care","NH_03_009","02/19/2003","$2,000.00","Hutton Nursing Home","Ulster","pfi996nh_03_009.pdf"
"250","08/16/2002","Multiple Deficiencies","NH_03_011","03/04/2003","$8,000.00","The Gardens At Manhattan Health & Rehab Ctr L L C","Erie","pfi250nh_03_011.pdf"
"276",".","Multiple Deficiencies","NH_03_012","03/04/2003","$4,000.00","Williamsville View Manor","Erie","pfi276nh_03_012.pdf"
"962","04/10/2002","Quality of Care","NH_03_013","03/04/2003","$2,000.00","Achieve Rehab And Nursing Facility","Sullivan","pfi962nh_03_013.pdf"
"169","03/29/2002","Multiple Deficiencies","NH_03_010","03/06/2003","$4,000.00","Robinson Terrace","Delaware","pfi169nh_03_010.pdf"
"716","08/08/2002","Quality of Care","NH_03_014","03/11/2003","$4,000.00","The Villages Of Orleans Health And Rehab Center","Orleans","pfi716nh_03_014.pdf"
"5760","07/02/2002","Quality of Care","NH_03_015","03/24/2003","$6,000.00","Wingate Of Dutchess","Dutchess","pfi5760nh_03_015.pdf"
"761",".","Multiple Deficiencies","NH_03_016","03/27/2003","$10,000.00","Van Rensselaer Manor","Rensselaer","pfi761nh_03_016.pdf"
"342","09/13/2002","Quality of Care","NH_03_017","03/28/2003","$2,000.00","St Luke Manor Of Batavia","Genesee","pfi342nh_03_017.pdf"
"1148","03/15/2002","Quality of Care","NH_03_018","03/28/2003","$4,000.00","The Paramount At Somers Rehab And Nursing Center","Westchester","pfi1148nh_03_018.pdf"
"3069","02/15/2002","Quality of Care","NH_03_019","04/01/2003","$2,000.00","New York United Hospital Medical Center","Westchester","pfi3069nh_03_019.pdf"
"1078","05/21/2002","Quality of Care","NH_03_020","04/08/2003","$4,000.00","Glen Island Center For Nursing And Rehabilitation","Westchester","pfi1078nh_03_020.pdf"
"4000","05/30/2002","Quality of Care","NH_03_021","04/21/2003","$1,000.00","Eddy Village Green","Albany","pfi4000nh_03_021.pdf"
"124","07/27/2001","Quality of Care","NH_03_022","05/02/2003","$4,000.00","Elcor Nursing  And Rehabilitation Center","Chemung","pfi124nh_03_022.pdf"
"963","03/08/2002","Quality of Care","NH_03_023","05/19/2003","$2,000.00","Sullivan County Adult Care Center","Sullivan","pfi963nh_03_023.pdf"
"473","01/17/2001","Quality of Care","NH_03_029","05/19/2003","$2,000.00","Latta Road Nursing Home West","Monroe","pfi473nh_03_029.pdf"
"3164","03/21/2002","Quality of Care","NH_03_024","05/20/2003","$1,000.00","Kirkhaven","Monroe","pfi3164nh_03_024.pdf"
"1409",".","Quality of Care","NH_03_025","05/20/2003","$4,000.00","Bedford Center For Nursing And Rehabilitation","Kings","pfi1409nh_03_025.pdf"
"1090","10/07/2002","Quality of Care","NH_03_026","05/28/2003","$2,000.00","Victoria Home","Westchester","pfi1090nh_03_026.pdf"
"442","04/17/2002","Quality of Care","NH_03_027","05/28/2003","$2,000.00","St Johns Health Care Corporation","Monroe","pfi442nh_03_027.pdf"
"442","07/12/2002","Quality of Care","NH_03_028","05/28/2003","$2,000.00","St Johns Health Care Corporation","Monroe","pfi442nh_03_028.pdf"
"5568","12/07/2000","Quality of Care","NH_03_030","06/17/2003","$4,000.00","Manhattan Center For Nursing & Rehabilitation","New York","pfi5568nh_03_030.pdf"
"877","03/08/2002","Quality of Care","NH_03_033","06/27/2003","$1,000.00","Berkshire Nursing & Rehabilitation Center","Suffolk","pfi877nh_03_033.pdf"
"721","06/12/2002","Quality of Care","NH_03_031","06/30/2003","$4,000.00","Orchard Rehabilitation & Nursing Center","Orleans","pfi721nh_03_031.pdf"
"721","03/29/2002","Quality of Care","NH_03_032","06/30/2003","$2,000.00","Orchard Rehabilitation & Nursing Center","Orleans","pfi721nh_03_032.pdf"
"1739","12/20/2002","Quality of Care","NH_03_034","07/16/2003","$2,000.00","Terrace View Long Term Care Facility","Erie","pfi1739nh_03_034.pdf"
"594","10/19/2001","Quality of Care","NH_03_035","07/16/2003","$12,000.00","Bethany Gardens Skilled Living Center","Oneida","pfi594nh_03_035.pdf"
"83","09/19/2002","Multiple Deficiencies","NH_03_036","07/25/2003","$2,000.00","The Pines Healthcare & Rehab Ctrs Machias Campus","Cattaraugus","pfi83nh_03_036.pdf"
"19","02/11/2002","Quality of Care","NH_03_037","08/04/2003","$2,000.00","St Margarets Center","Albany","pfi19nh_03_037.pdf"
"19","04/12/2000","Multiple Deficiencies","NH_03_038","08/04/2003","$2,000.00","St Margarets Center","Albany","pfi19nh_03_038.pdf"
"1226","10/22/2002","Quality of Care","NH_03_039","08/18/2003","$2,000.00","Gold Crest Care Center","Bronx","pfi1226nh_03_039.pdf"
"656",".","Multiple Deficiencies","NH_03_040","09/18/2003","$9,500.00","Bishop Rehabilitation And Nursing Center","Onondaga","pfi656nh_03_040.pdf"
"1054","04/11/2002","Quality of Care","NH_03_041","10/06/2003","$2,000.00","Nathan Miller Center For Nursing Care","Westchester","pfi1054nh_03_041.pdf"
"654","09/11/2001","Multiple Deficiencies","NH_03_042","10/08/2003","$3,000.00","Central Park Rehabilitation And Nursing Center","Onondaga","pfi654nh_03_042.pdf"
"96","01/04/2002","Multiple Deficiencies","NH_03_043","10/08/2003","$6,000.00","Northwoods Rehab And Nursing Center At Moravia","Cayuga","pfi96nh_03_043.pdf"
"984",".","Quality of Care","NH_03_044","10/08/2003","$4,500.00","Cayuga Nursing And Rehabilitation Center","Tompkins","pfi984nh_03_044.pdf"
"1080","01/24/2001","Multiple Deficiencies","NH_03_045","10/17/2003","$22,000.00","Sutton Park Center For Nursing And Rehabilitation","Westchester","pfi1080nh_03_045.pdf"
"30","12/21/2001","Multiple Deficiencies","NH_03_046","10/17/2003","$12,000.00","Shaker Place Rehabilitation And Nursing Center","Albany","pfi30nh_03_046.pdf"
"30","05/09/2002","Multiple Deficiencies","NH_03_047","10/17/2003","$4,000.00","Shaker Place Rehabilitation And Nursing Center","Albany","pfi30nh_03_047.pdf"
"278",".","Quality of Care","NH_03_048","11/04/2003","$13,000.00","Absolut Ctr For Nursing & Rehab Aurora Park L L C","Erie","pfi278nh_03_048.pdf"
"278","09/14/2001","Quality of Care","NH_03_049","11/04/2003","$1,000.00","Absolut Ctr For Nursing & Rehab Aurora Park L L C","Erie","pfi278nh_03_049.pdf"
"284","07/18/2001","Quality of Care","NH_03_050","11/04/2003","$1,000.00","Absolut Ctr For Nursing & Rehab Orchard Park L L C","Erie","pfi284nh_03_050.pdf"
"284",".","Quality of Care","NH_03_051","11/04/2003","$14,000.00","Absolut Ctr For Nursing & Rehab Orchard Park L L C","Erie","pfi284nh_03_051.pdf"
"232",".","Resident Rights","NH_03_053","11/13/2003","$8,000.00","Elderwood At Amherst","Erie","pfi232nh_03_053.pdf"
"4107","03/28/2001","Quality of Care","NH_03_054","11/26/2003","$1,000.00","St Johnsville Rehabilitation And Nursing Center","Montgomery","pfi4107nh_03_054.pdf"
"431",".","Quality of Care","NH_03_055","12/01/2003","$7,000.00","Aaron Manor Rehabilitation And Nursing Center","Monroe","pfi431nh_03_055.pdf"
"474","10/04/2002","Quality of Care","NH_04_002","01/15/2004","$1,000.00","Park Ridge Nursing Home","Monroe","pfi474nh_04_002.pdf"
"1705","01/16/2002","Quality of Care","NH_04_001","01/19/2004","$1,000.00","Dry Harbor Nursing Home","Queens","pfi1705nh_04_001.pdf"
"3902","10/17/2002","Resident Rights","NH_04_003","02/05/2004","$1,000.00","Elderwood At Hornell","Steuben","pfi3902nh_04_003.pdf"
"4887","02/27/2002","Quality of Care","NH_04_004","02/05/2004","$2,000.00","Bronx Gardens Rehabilitation And Nursing Center","Bronx","pfi4887nh_04_004.pdf"
"719","10/23/2003","Quality of Care","NH_04_049","02/06/2004","$2,000.00","Medina Memorial Hospital S N F","Orleans","pfi719nh_04_049.pdf"
"156","02/27/2003","Quality of Care","NH_04_051","02/09/2004","$1,000.00","Livingston Hills Nursing And Rehabilitation Center","Columbia","pfi156nh_04_051.pdf"
"1247","07/31/2002","Multiple Deficiencies","NH_04_005","02/20/2004","$6,000.00","Williamsbridge Center For Rehabilitation And Nrsg","Bronx","pfi1247nh_04_005.pdf"
"3423","06/03/2002","Quality of Care","NH_04_010","02/20/2004","$2,000.00","Bellhaven Center For Rehab And Nursing Care","Suffolk","pfi3423nh_04_010.pdf"
"1316",".","Quality of Care","NH_04_006","03/03/2004","$6,000.00","Rutland Nursing Home, Inc","Kings","pfi1316nh_04_006.pdf"
"1675","10/30/2002","Quality of Care","NH_04_007","03/10/2004","$2,000.00","The Grand Rehabilitation And Nursing At Queens","Queens","pfi1675nh_04_007.pdf"
"1042","09/21/2001","Quality of Care","NH_04_016","03/15/2004","$1,000.00","The Emerald Peek Rehabilitation And Nursing Center","Westchester","pfi1042nh_04_016.pdf"
