Week Ending,Federal Provider Number,Provider Name,Submitted Data,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,One-Week Supply of N95 Masks,One-Week Supply of Surgical Masks,One-Week Supply of Eye Protection,One-Week Supply of Gowns,One-Week Supply of Gloves,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County
8/2/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,1,12,1,1,6,96,73,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,164.4,82.2,50,Westchester
8/9/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,1,13,4,0,6,96,70,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,185.7,85.7,46.2,Westchester
8/16/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,2,11,0,13,0,0,6,96,74,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,175.7,81.1,46.2,Westchester
8/23/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,12,1,14,2,0,6,96,74,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,189.2,81.1,42.9,Westchester
8/30/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,13,0,14,0,0,6,96,77,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,181.8,77.9,42.9,Westchester
9/6/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,14,0,14,0,0,6,96,75,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,186.7,80,42.9,Westchester
9/13/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,15,0,14,1,0,6,96,80,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,175,75,42.9,Westchester
9/20/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,16,1,15,0,0,6,96,78,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,192.3,76.9,40,Westchester
9/27/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,16,0,15,0,0,6,96,79,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,189.9,75.9,40,Westchester
10/4/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,16,0,15,0,0,6,96,79,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,189.9,75.9,40,Westchester
10/11/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,16,0,15,1,0,6,96,77,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,194.8,77.9,40,Westchester
10/18/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,16,0,15,0,0,6,96,75,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,200,80,40,Westchester
10/25/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,16,0,15,0,0,6,96,77,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,194.8,77.9,40,Westchester
5/24/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,78,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
5/31/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,79,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
6/7/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,78,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
6/14/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,79,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
6/21/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,83,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
6/28/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,84,0,0,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
7/5/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,84,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
7/12/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,85,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
7/19/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,87,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
7/26/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,83,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
8/2/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,80,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
8/9/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,82,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
8/16/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,82,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
8/23/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,79,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
8/30/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,81,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
9/6/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,84,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
9/13/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,85,1,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
9/20/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,86,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
9/27/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,82,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
10/4/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,84,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
10/11/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,80,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
10/18/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,77,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
10/25/20,335004,AUBURN REHABILITATION & NURSING CENTER,Y,0,0,0,0,0,0,0,92,80,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,0,,Cayuga
5/24/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,4,4,10,10,3,7,7,120,91,14,14,1,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,109.9,76.9,70,Westchester
5/31/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,4,0,10,2,1,8,120,91,4,18,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,109.9,87.9,80,Westchester
6/7/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,4,0,10,1,1,9,120,94,4,22,0,1,N,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,106.4,95.7,90,Westchester
6/14/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,4,0,10,0,0,9,120,93,0,22,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,107.5,96.8,90,Westchester
6/21/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,4,4,14,1,0,9,120,95,3,25,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.4,94.7,64.3,Westchester
6/28/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,3,7,0,14,0,0,9,120,96,1,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,145.8,93.8,64.3,Westchester
7/5/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,2,9,0,14,0,0,9,120,96,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,145.8,93.8,64.3,Westchester
7/12/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,7,16,0,14,0,0,9,120,93,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.5,96.8,64.3,Westchester
7/19/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,1,17,0,14,0,0,9,120,93,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.5,96.8,64.3,Westchester
7/26/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,95,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,,147.4,94.7,64.3,Westchester
8/2/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,95,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.4,94.7,64.3,Westchester
8/9/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,93,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,150.5,96.8,64.3,Westchester
8/16/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,96,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,145.8,93.8,64.3,Westchester
8/23/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,96,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,145.8,93.8,64.3,Westchester
8/30/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,94,0,26,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,148.9,95.7,64.3,Westchester
9/6/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,95,1,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.4,94.7,64.3,Westchester
9/13/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,94,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,148.9,95.7,64.3,Westchester
9/20/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,97,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,144.3,92.8,64.3,Westchester
9/27/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,95,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,147.4,94.7,64.3,Westchester
10/4/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,98,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,142.9,91.8,64.3,Westchester
10/11/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,98,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,142.9,91.8,64.3,Westchester
10/18/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,96,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,145.8,93.8,64.3,Westchester
10/25/20,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,Y,0,17,0,14,0,0,9,120,97,0,27,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,144.3,92.8,64.3,Westchester
5/24/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,48,48,1,1,6,0,0,266,222,9,9,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,4.5,0,0,Oneida
5/31/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,4,52,0,1,3,0,0,266,223,6,15,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,4.5,0,0,Oneida
6/7/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,9,61,0,1,0,0,0,266,224,6,21,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,4.5,0,0,Oneida
6/14/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,7,68,3,4,3,1,1,266,224,8,29,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,17.9,4.5,25,Oneida
6/21/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,10,78,1,5,3,1,2,266,221,10,39,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,22.6,9,40,Oneida
6/28/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,7,85,31,36,4,0,2,266,196,11,50,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,183.7,10.2,5.6,Oneida
7/5/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,1,86,22,58,6,4,6,266,159,13,63,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,364.8,37.7,10.3,Oneida
7/12/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,6,92,1,59,10,7,13,266,157,19,82,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,375.8,82.8,22,Oneida
7/19/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,6,98,5,64,2,1,14,266,158,3,85,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,405.1,88.6,21.9,Oneida
7/26/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,9,107,0,64,1,1,15,266,157,1,86,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,407.6,95.5,23.4,Oneida
8/2/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,16,123,0,64,0,0,15,266,168,5,91,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,381,89.3,23.4,Oneida
8/9/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,1,124,0,64,1,0,15,266,171,2,93,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,374.3,87.7,23.4,Oneida
8/16/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,124,0,64,2,0,15,266,170,1,94,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,376.5,88.2,23.4,Oneida
8/23/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,124,2,66,0,0,15,266,168,2,96,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,392.9,89.3,22.7,Oneida
8/30/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,124,0,66,2,0,15,266,169,1,97,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,390.5,88.8,22.7,Oneida
9/6/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,124,0,66,0,0,15,266,172,1,98,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,383.7,87.2,22.7,Oneida
9/13/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,1,125,0,66,3,0,15,266,175,0,98,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,,,,377.1,85.7,22.7,Oneida
9/20/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,3,128,0,66,0,0,15,266,180,0,98,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,366.7,83.3,22.7,Oneida
9/27/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,1,129,0,66,1,0,15,266,180,0,98,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,366.7,83.3,22.7,Oneida
10/4/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,2,131,0,66,2,0,15,266,175,0,98,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,377.1,85.7,22.7,Oneida
10/11/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,6,137,0,66,2,0,15,266,178,0,98,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,370.8,84.3,22.7,Oneida
10/18/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,137,0,66,0,0,15,266,177,2,100,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,372.9,84.7,22.7,Oneida
10/25/20,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,Y,0,137,0,66,0,0,15,266,175,0,100,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,377.1,85.7,22.7,Oneida
5/24/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,3,3,61,61,70,18,18,455,320,35,35,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,190.6,56.3,29.5,Monroe
5/31/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,3,3,64,1,1,19,455,325,2,37,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,196.9,58.5,29.7,Monroe
6/7/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,1,4,0,64,5,1,20,455,323,0,37,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,198.1,61.9,31.3,Monroe
6/14/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,2,6,0,64,3,0,20,455,325,2,39,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,196.9,61.5,31.3,Monroe
6/21/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,6,0,64,5,1,21,455,324,0,39,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,197.5,64.8,32.8,Monroe
6/28/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,6,0,64,4,0,21,455,327,2,41,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,195.7,64.2,32.8,Monroe
7/5/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,6,0,64,2,0,21,455,324,0,41,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,197.5,64.8,32.8,Monroe
7/12/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,2,8,0,64,3,0,21,455,323,0,41,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,198.1,65,32.8,Monroe
7/19/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,1,9,0,64,1,0,21,455,318,0,41,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,201.3,66,32.8,Monroe
7/26/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,1,10,0,64,0,0,21,455,324,2,43,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,197.5,64.8,32.8,Monroe
8/2/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,64,4,0,21,455,321,0,43,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,199.4,65.4,32.8,Monroe
8/9/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,64,1,0,21,455,320,0,43,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,200,65.6,32.8,Monroe
8/16/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,64,1,0,21,455,314,1,44,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,203.8,66.9,32.8,Monroe
8/23/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,1,65,2,0,21,455,311,0,44,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,209,67.5,32.3,Monroe
8/30/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,4,0,21,455,312,3,47,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,208.3,67.3,32.3,Monroe
9/6/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,1,0,21,455,312,0,47,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,208.3,67.3,32.3,Monroe
9/13/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,2,0,21,455,315,0,47,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,206.3,66.7,32.3,Monroe
9/20/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,2,0,21,455,320,1,48,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,203.1,65.6,32.3,Monroe
9/27/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,3,0,21,455,322,0,48,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,201.9,65.2,32.3,Monroe
10/4/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,7,0,21,455,321,0,48,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,202.5,65.4,32.3,Monroe
10/11/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,2,0,21,455,319,0,48,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,203.8,65.8,32.3,Monroe
10/18/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,3,0,21,455,316,1,49,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,205.7,66.5,32.3,Monroe
10/25/20,335008,ST JOHNS HEALTH CARE CORPORATION,Y,0,10,0,65,6,0,21,455,315,1,50,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,206.3,66.7,32.3,Monroe
